newspaper,newspaper_ID_histCommons,printer,date,written_date,year,text,resistance_tag
The South Carolina Gazette,NA,Thomas Whitemarsh,1732_03_07,"March 7, 1732",1732,"Boston, Feb. 7. By a Sloop which arrived here yesterday from Jamaica, we have an Account, that an Express from Port Antonio brought Advice, That a Party consisting of 60 of the King's Troops, and 40 Negroes, commanded by a Captain, Lieutenant, and other Officers, upon entering a narrow Pass of a great Negro Town in the Mountains, several of the men were killed, and the whole Body intirely defeated; many of the said Party in their Flight, flung away their small Arms, and their Powder; which has given great Strength and Encouragement to the Rebels , and much Concern to the Government.",blackUnrest
The South Carolina Gazette,NA,Thomas Whitemarsh,1732_03_11,"March 11, 1732",1732,"Frankfort, Nov. 10. The last
Letters from Italy vary much,
those from Leghorn
insinuating, as if the
Imperialists having attack'd the
Rebels in their Entrenchments
at Vescovado, they were beat
off with the Loss of 2000 Men
kill'd, among them a Nephew
of the Duke de Doria, and 700
taken Prisoners; and those from
Genoa giving great Hopes of
Accommodation",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1732_06_03,"June  3, 1732",1732,"FOREIGN AFFAIRS.
VIENNA, Feb. 2.
SOME Conferences have been
held in the Palace on the
Affairs of the Island of Corsica,
wherein it is assured a
Resolution was taken to make
the necessary Efforts to oblige
the Rebels to submit to the
Republick of Genoa, and for
that Purpose to send thither a
sufficient Body of Troops
under the Command of Prince
Lewis of Wirtemberg, who will
be accomplished by the Prince
of Culmback, and General
Smettan. ---- The Turkish
Consul had lately an Audience
of Prince Eugene, to declare to
him, that the Reports spread of
the Grand Seignior's Design to
make War against the Emperor,
or any of his Allies, were
without Foundation; his
Sublime Highness having
nothing more at heart than to
live in a perfect Harmony with
his Imperial Majesty, and the
other Christian Potentates.",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1732_06_17,"June 17, 1732",1732,"LISBON, Jan. 24.
WE have Advice from Coast of
Barbary of a compleat Victory
gain'd by the Troops of the
Emperor of Morocco over the
Arabian Rebels, insomuch that
the latter are thought to have
suffered too great a Loss to be
able to make Head again: It is
added, that the Emperor is to
join his Army with fresh
Troops, to march in April next
towards the Sea-Coast; and that
the Bashaw of Tangier has
received Orders to assemble an
Army on that Side, upon some
Considerable Enterprize.",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1732_07_01,"July 1, 1732",1732,"A Letter from a Merchant in Jamaica to his Friend at London, giving an Account of the present State and Condition of that island.
SIR,
IN the last Session of our Assembly, the declining Condition of this Island was taken into Consideration, with Regard to the low Value of its Produce, which daily declining, greatly discourages the present Settlers, and those that have Estates, and hath for some Years past intirely put a Stop to the further Improvement or Settlement of this large, fertile, & valuable Island; so that for seven Years last past, instead of increasing in the Number of our Inhabitants, we have decreased at least one Third, which renders the great Charges we are at for the necessary Support of the Government the more difficult, and almost insupportable to the few remaining Inhabitants. To speak the Truth of our Condition, if some speedy Remedy is not found out, and some new Encouragement given, I expect to see in a few Years this Island left only in the Hands of a few Proprietors of Sugar-Works, who do not amount to above 300, and those we compute one with another employ each 5 white Men, which is but 1500; all our other Inhabitants, and those that have other small Settlements, are going off daily. The Proprietors of Sugar-Works, (many of whom are in Great Britain ) must stand by and keep their Interest in it till the last, as their Estates consist of great Buildings, Plantations, Utensils, large Tracts of Land well cultivated, great Quantities of Cattle, which if they remove their Slaves from, to go to other Countries, will be of no Value but a dead Loss, and so two Thirds of their Estates sunk; this Reason will oblige the Sugar Planters to stand it the longest; and God knows that is a short Space enough, considering the dismal Prospect they have of the declining Condition of their Estates, the Increase of our Rebel Negroes, and the Loss of our Trade. We find all the European Markets, except Great Britain supply'd by the French and Dutch Sugar Colonies, & even a great part of the British Empire likewise, as Ireland , which hath for several Years been supply'd with French Sugar; and the British northern Colonies, which now swarm with People (and are a daily Drain to the Sugar Colonies) supply themselves with Sugar and Molasses from the French and Dutch ; so that all the Consumption of the British Colonies (by the Restriction laid on their Trade) is reduced to Great Britain only; and consequently what Sugars are made more than is required for that Purpose, can be of little other Use than to lower the Price and Value of even that.

These unhappy Circumstances have struck such a Damp on the Inhabitants of this Island, that nothing is heard but Preparations for the Northern Colonies; and Carolina begins to encourage great Numbers to adventure there, forasmuch as by the great, Goodness of his Majesty, and the Wisdom of the Parliament, the Enumeration of Rice is taken off, and they have Liberty to send it to foreign Markets directly, which will bring such a flow of Riches to that Colony as will help, I fear, to be very much the Downfal of the British West India Sugar Colonies, except some such Encouragement be given to them: And it is to be hoped his Majesty's great Goodness will indulge him to recommend the Consideration [ ] to the Wisdom of his Parliament, and that they will have such a Regard to the Welfare of Britain, as to support its principal Members, the Sugar Colonies, which employ such vast Numbers of their Fellow-Subjects in their Mother Country, and are a great support to the Figure they now make in Trade, by the Employment of Ships and Men, this Island alone employing yearly at least 300 sail of Vessels and 5000 Mariners; and considering the advantagious Situation of it in Time of Peace for Trade to New Spain , and in case of a War, all our West India Colonies must be lost without this Island, they having no Harbour or Ports that his Majesty could keep a Squadron in, to command these Seas and protect them; and in case of bad Weather, which always happens amongst them once a Year, these Vessels that would be distressed, must put into an Enemy's Port or perish in the Sea, as we have no other British Settlements to Leeward off St. Christopher's but this Island. These Particulars, and many others too tedious to enumerate, being duly considered, I am sure there is a Necessity of doing something immediately to encourage the present Inhabitants to remain in the Country, and others to come; or I fear, in case of War, it will be so weak as to fall an easy Prey to our Potent Neighbours the French at Hispaniola, who by the great Encouragement from their Mother Country, are within a few Years grown so numerous in their Settlements and Inhabitants, as gives a dismal Prospect to us of this Island.

One Thing I am surprized never was considered among the Means thought of for preventing the Use as well as running French Brandy, which is the lessening the Excise on Rum, the Produce of our own Sugar Colonies, which, were it used instead of French Brandy, would save the Nation as much ready Cash as goes out of it for the Purchase thereof. Rum is the principal Commodity of this Island next to Sugar, and on which the Planters very much depended; it generally sells here from 18d. to 2s. per Gallon, so that 100 Punches of 110 Gallons each here, is about 1000l. this Island Currency, or 200l. Sterling Value; that Quantity, on exportation to Great Britain , is to pay a Duty and Excise to the Crown of about [ ]l. Sterling, without any Drawback on Exportation, besides 6d. per Gallon Freight, [ ] the Loss of Casks, Leakage, &c. so that the Planter at last has a mere Trifle for a Commodity, and what is worse, we have [ ] for Rum at the Northern Colonies, [ ] buy French Molasses so cheap (which without such a Vent would be a Loss to the French ) that they furnish themselves, and export large Quantities to other Countries; so that our Rum that used to contribute greatly to support the contingent Charges of Sugar-Works, by the heavy Duty, Excise, and Loss of the Northern Plantations Trade, will become of little other Value than to be given to Servants & Negroes; whereas, was half the Excise to be taken off, it would greatly increase the Revenue in Great Britain , and be a more effectual Method of preventing the Use of French Brandy than any yet practiced, and would be no Prejudice to English Spirits, not no Ways lessen the Quantity usually made. And sure I am, it highly becomes the Wisdom of the Nation to encourage the Colonies Abroad, each of whose Inhabitants, one with another, gives Bread to three (at least) of their Fellow Subjects in their Mother Country, I may say those of this Island do so treble that Number. Now, could we but obtain the Liberty of exporting our Sugars to Foreign Markets, on paying the Duty it leaves in Great Britain upon Exportation, with other Encouragements, this Island might be rendered the greatest in America , and would become much more Advantagious to Great Britain , in taking off more of its Manufactures, and employing a greater Number of Shipping and Sailors, in Proportion to the Increase of its Produce. For I assure you, that four Fifths of the valuable and improveable Land in this Island is not settled or cultivated, and lies waste as a Receptacle only for our rebellious Runaway Negroes. What I have said is sufficient to shew the infinite Value of this Island, its present miserable Circumstances, and the Necessity of some immediate Relief and Encouragement, to prevent the impending Ruin of the Inhabitants, and the utter Loss of this inestimable Jewel in the British Diadem.",blackUnrest
The South Carolina Gazette,NA,Thomas Whitemarsh,1732_08_19,"August 19, 1732",1732,"Williamsburg, in Virginia, June 1.



THE Law made last Year for reviving our Staple, by appointing Inspectors in every County, who had Power to burn unmerchantable Tobacco, &c. had like to have produc'd some publick Disturbances; certain ill-minded Persons, having industriously endeavoured to persuade the poorer sort of Planters, that this Law was calculated for their Oppression and Ruin: But by the Prudence and Vigilance of the Government, the beginning Insurrections were timely suppressed. And some Papers having been since published, wherein the People are better informed as to the Design of the Law, Things seem now to grow more quiet and settled.",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1732_10_03,"October  3, 1732",1732,"Leghorn, Feb. 2. Letters from
Bastia mention a Detachment
of 400 Imperialists having been
surpized by the Rebels in
Ambuscade near Calezzana,
and all, to the Number of 80,
cut in Pieces.",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1733_01_13,"January 13, 1733",1733,"From Constantinople, That every Thing there seem'd ripe for a new Insurrection ; that the People were put into continual Frights by the seditious Carriage and Insolence of the Janizaries; and the Grand Seignior was assembling an Army of 30,000 Men at the City Gates, for his own Security, in which Body there was not to be one Janizary.",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1733_03_24,"March 24, 1733",1733,"Dec. 10. Our Last Advices
from Spain say, that the whole
Empire of Morocco is in a
Combustion, upon the Blacks
of Mequinez having rebelled,
and set the Brother of Muley
Abdallah on the Throne, in
Aversion to the frequent
Executions which the King
caused to be made among
them; so that his Majesty will
be obliged to withdraw from
before Ceuta to quell them",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1733_04_07,"April  7, 1733",1733,"The SUBJECT on Paper
Currency Concluded.
THAT the Prices of our
Produce is influenced in
the following Manner, I
think is very plain.
When our Crop is so
large, as to make a
Plenty at the Markets of
Consumption, and
furnish them with more
than they want
(supposing the Factors
here as Orders at large,
and the Freights at
common price) then the
Prices will necessarily
run low on Export; &
farther, a Scarcity of
Ships and Freight high,
also beats down the
Price still more.
Again, when our Crop falls
short, so as not fully to supply
the Markets aboard, we then
judging the Price will advance
at places of Consumption, are
thereby encouraged to give the
more here (And so much the
more as Freights are under the
common Rate).
But what I've observed
constantly to affect most the
price of our Produce, is
chartered Ships, or Orders to
several Factors at the same
time, for a certain Commodity,
without limiting a price,
occasions bidding on each
other, and frequently runs it
above its true Value.
If any one think this is not a
rational Account, but that the
Paper Currency does the
Mischief, I desire they would
give some better Reasons; and
shew how it has raised Pitch
from 35 to 50s. in four Weeks,
and falling it again to 40s. in
ten Days: How it was, that Rice
the beginning of Crop, at 45s.
fell to 40s. advanced again to
47s. in six Weeks. When Silver
did not alter Is. per Ounce, or
Exchange vary 5 per Cent. Or
why did not the additional
Currency of 50,000I.
Merchants Notes, afford some
Proof of this Objection: That
Year it was remarkably the
Contrary, for Sterling Bills
were never plentier; (&
Produce was low) but am apt to
think, had the Case been
otherwise, all that were against
that private (beneficial) Bank,
would have asserted it as the
Cause.
But says another, let the
Planters have Money on their
Lands to pay their Debts, they'll
keep Rice, &c. as home, 'till the
Merchant is forced to give the
Price they please to demand.
Will they so? (well, when the
Sky falls they'll catch Larks)
Where is the Man of two
Grains of Sense, being in Debt,
that will keep his Goods at
home, at the Expence of 10 per
Cent. And at so much
uncertainty, that he can't be
sure, but in the End, he may
loose 20 per Cent. On the Price
of his Goods. Again, it must be
a general Contrivance, and all
agree in it, or it won't the
Objector allow, it is as easy,
and full as likely, that the
Merchants in Charlestown,
would also combine to
Counter-plot them, by engaging
not to give them more than
certain price for Produce; and it
may be, carry it father, that they
would not sell Goods out of
their Stores, but a t a higher
Advance: Persons living
compact, as in Charlestown,
may sooner unite to the
Prejudice of the Planter, than
that they could all join from
North to South, through the
whole Country, in such a
Contrivance.
Further it is to be considered,
that the greatest part of the Rice
is now made be Gentlemen of
Estates, clear of Debt, and
therefore the same might be
practiced every year past, as
well as future; but don't we see
on the Contrary, these
Gentlemen the most forward in
cleaning out, & bringing to
market: It there may be any
who at otherwise, who seems
the most prudent and greatest
Gainer? The Former no doubt:
On the Whole, I think this
objection has so little, or rather
no Reason in it, that had I not
heard it from a Person of
reputed Sense, I could not have
suggested it.
Now, As to how much
Currency is necessary for this
Province, some there are, who
pretend to determine how much
is proper and convenient for
carrying on Trade; (indeed
more than enough in Paper
would be a Nusance) but I
never yet see any regular
Scheme, or the Reason on
which it's founded, by those
very correct Gentlemen, who
say the Sum extant (I mean
before the Orders) was Enough,
And that's Enough. I believe
the Usuerer says in his Heart,
it's ever too much, the less
there is the higher the Interest;
I'm not very careful to obtain
the Smiles, nor do I any more
regard the Frowns, of these
Persons.
Humanity ought to prevail, and
if we are commanded to Love
our Neighbours as our selves,
what is there less implied, than
serving our Neighbour in any
Degree, wherein we receive
equal Advantages; therefore the
Interest should be ascertained
at a reasonable Rate, to afford
(if possible) Advantages on
both Sides.
Now the Method I would
propose for ascertaining the
Sum needful for carrying on
the Trade of this Province: Let
a LOAN-OFFICE be opened
on the Terms aforesaid, and the
Interest kept at 10 per cent. I
dare venture to say, no more
will be borrowed than what's
absolutely wanted, and
necessary for conveniency of
Trade; and to that I would
confine the Sum, for at least
some Years, tho' it should not
exceed 30,000I. Principle, nor
do I think it would come to
50,000I. Proclamation Money.
It would not appear unjust to
offer some thing for
ascertaining the Rate of
Interest, I think it admits of
only one general Rule, that it
should (and does in all well
regulated places) bear
(constant) proportion to the
Profits arising on Trade, for it's
that which ascertains also the
Value of I and every where; this
is plain, by observing those
places where Trade is carried
on with least Profit, there
Interest is lowest; and where
there is no Commerce, there is
no such thing as Interest
Money. But, as in this Country,
we have so little trade of our
own, that we can't judge of it;
the Fountain and Center of our
Commerce being in Great
Britain: However, we have
Lands, and must estimate the
annual Profit that way; here,
I'm very sorry, the Scene opens
with a very melancholy
Prospect (to those already in
Debt), our Staple Commodities
falling in price from year to
Year, threatens Proverty and
Distress to those who have
nothing else to depend on; and
of late yeards, the Experience
of many Planters confirms, I
beleive, this Observation; that
with all their Industry and Cre,
they have not been able to
make 10 per cent. Profit on
Land and Slaves; I would
advise such to be wife in time,
and judge whether it would not
be much better to sell off and
balance with the Creditor, that
what remains may be clear,
than suffer a flow (but certain)
Moth of Interest, insensibly to
catout the whole,
It seems, most of our
Neighbours to the northward
don't exceed 6 per cent. per
Ann. The Sugar Islands were at
10, 'till of late; Barbadoes (if I
am right informed) have
reduced to 8. Perhaps, it might
have been better, if they had
done it sooner, and prevented
many of their Inhabitants going
off.
Putting every thing together, I
would humbly submit it,
whether the Circumstances of
this Province can well afford
continuing the Interest at 10
per cent. perhaps it may be
necessary to do it, until such
time as the publick Debt,
105,000 old Bills be paid off
which would be erected,
according to my Scheme, in six
Years or less; at which time, if
not before, I doubt not, all will
agree to reduce Interest, unless,
in the mean time, we should be
so fortunate, as to find some
new Staple or Manufacture, to
give new Life to the Planter
and others in Trade.
To Recapitulate the Substance
of what has been offered on
this Subject.
1.
A standing Paper Currency is
proposed, to continue until the
Nature or Circumstance of our
Trade will furnish us with that
which is better, Silver or Gold.
2.
That it be put on such a
Foundation, as shall be just and
equal to all concerned, which it
is conceived it will be, if the
Bill be kept to its original
Value.
3.
That it will be effected by
issuing it on Loan, provided the
Interest be paid in Silver or
Gold.
4.
After paying the Debt now
owing by the Publick the
Interest be applied towards the
Support of Governement.
If this Scheme, or something
like it, may be thought of Use,
something further may be
offered towards it",nonslave
