five_year_interval,total_sentences,consequence_passives,active_consequence_sentences,consequence_passives_per_10_sentences,active_consequence_per_10_sentences,consequence_passives_per_20_sentences,active_consequence_per_20_sentences
1735,18,15,3,8.333333333,1.666666667,16.66666667,3.333333333
1736,0,0,0,0,0,0,0
1737,,,,,,,
1738,,,,,,,
1739,0,0,,0,,0,
1740,1,1,0,10,0,20,0
1741,0,0,,0,,0,
1742,,,,,,,
1743,,,,,,,
1744,,,,,,,
1745,0,0,,0,,0,
1746,,,,,,,
1747,,,,,,,
1748,,,,,,,
1749,0,0,,0,,0,
1750,1,1,,10,,20,
1751,0,0,,0,,0,
1752,,,,,,,
1753,,,,,,,
1754,,,,,,,
1755,,,,,,,
1756,,,,,,,
1757,,,,,,,
1758,,,,,,,
1759,,,,,,,
1760,,,,,,,
1761,,,,,,,
1762,,,,,,,
1763,,,,,,,
1764,0,0,0,0,0,0,0
1765,19,16,3,8.421052632,1.578947368,16.84210526,3.157894737
1766,0,0,0,0,0,0,0
1767,,,,,,,
1768,,,,,,,
1769,0,0,0,0,0,0,0
1770,23,20,3,8.695652174,1.304347826,17.39130435,2.608695652
1771,0,0,0,0,0,0,0
1772,,,,,,,
1773,,,,,,,
1774,0,0,0,0,0,0,0
1775,49,42,7,8.571428571,1.428571429,17.14285714,2.857142857
