year,total_sentences,consequence_passives,active_consequence_sentences,consequence_passives_per_10_sentences,active_consequence_per_10_sentences,consequence_passives_per_20_sentences,active_consequence_per_20_sentences
1736,2,2,0,10,0,20,0
1737,16,13,3,8.125,1.875,16.25,3.75
1738,0,0,0,0,0,0,0
1739,0,0,0,0,0,0,0
1740,1,1,0,10,0,20,0
1741,0,0,0,0,0,0,0
1742,0,0,0,0,0,0,0
1743,0,0,0,0,0,0,0
1744,0,0,0,0,0,0,0
1745,0,0,0,0,0,0,0
1746,0,0,0,0,0,0,0
1747,0,0,0,0,0,0,0
1748,0,0,0,0,0,0,0
1749,0,0,0,0,0,0,0
1750,0,0,0,0,0,0,0
1751,0,0,0,0,0,0,0
1752,1,1,0,10,0,20,0
1753,0,0,0,0,0,0,0
1754,0,0,0,0,0,0,0
1755,0,0,0,0,0,0,0
1756,0,0,0,0,0,0,0
1757,0,0,0,0,0,0,0
1758,0,0,0,0,0,0,0
1759,0,0,0,0,0,0,0
1760,0,0,0,0,0,0,0
1761,0,0,0,0,0,0,0
1762,0,0,0,0,0,0,0
1763,0,0,0,0,0,0,0
1764,0,0,0,0,0,0,0
1765,0,0,0,0,0,0,0
1766,2,2,0,10,0,20,0
1767,9,9,0,10,0,20,0
1768,6,3,3,5,5,10,10
1769,2,2,0,10,0,20,0
1770,4,4,0,10,0,20,0
1771,5,5,0,10,0,20,0
1772,3,2,1,6.666666667,3.333333333,13.33333333,6.666666667
1773,9,9,0,10,0,20,0
1774,2,0,2,0,10,0,20
1775,49,42,7,8.571428571,1.428571429,17.14285714,2.857142857
