,year,total_sentences,passive_sentences,passive_per_100_sentences
0,1737,59.0,22.0,37.28813559322034
1,1738,0.0,0.0,0.0
2,1739,2.0,0.0,0.0
3,1740,13.0,4.0,30.76923076923077
4,1741,0.0,0.0,0.0
5,1742,0.0,0.0,0.0
6,1743,0.0,0.0,0.0
7,1744,0.0,0.0,0.0
8,1745,0.0,0.0,0.0
9,1746,0.0,0.0,0.0
10,1747,0.0,0.0,0.0
11,1748,0.0,0.0,0.0
12,1749,0.0,0.0,0.0
13,1750,0.0,0.0,0.0
14,1751,0.0,0.0,0.0
15,1752,2.0,1.0,50.0
16,1753,0.0,0.0,0.0
17,1754,0.0,0.0,0.0
18,1755,0.0,0.0,0.0
19,1756,0.0,0.0,0.0
20,1757,0.0,0.0,0.0
21,1758,0.0,0.0,0.0
22,1759,0.0,0.0,0.0
23,1760,0.0,0.0,0.0
24,1761,0.0,0.0,0.0
25,1762,0.0,0.0,0.0
26,1763,0.0,0.0,0.0
27,1764,0.0,0.0,0.0
28,1765,0.0,0.0,0.0
29,1766,6.0,4.0,66.66666666666666
30,1767,52.0,10.0,19.230769230769234
31,1768,10.0,4.0,40.0
32,1769,11.0,3.0,27.27272727272727
33,1770,6.0,4.0,66.66666666666666
34,1771,8.0,5.0,62.5
35,1772,19.0,8.0,42.10526315789473
36,1773,70.0,27.0,38.57142857142858
37,1774,43.0,12.0,27.906976744186046
38,1775,573.0,220.0,38.39441535776614
