newspaper,newspaper_ID_histCommons,printer,date,written_date,year,text,notes,written_date,resistance_tag
The South Carolina Gazette,NA,Thomas Whitemarsh,1732_03_11,"March 11, 1732",1732,"Frankfort, Nov. 10. The last
Letters from Italy vary much,
those from Leghorn
insinuating, as if the
Imperialists having attack'd the
Rebels in their Entrenchments
at Vescovado, they were beat
off with the Loss of 2000 Men
kill'd, among them a Nephew
of the Duke de Doria, and 700
taken Prisoners; and those from
Genoa giving great Hopes of
Accommodation",news from Frankfurt mentions rebels ,"March 11, 1732",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1732_06_03,"June  3, 1732",1732,"FOREIGN AFFAIRS.
VIENNA, Feb. 2.
SOME Conferences have been
held in the Palace on the
Affairs of the Island of Corsica,
wherein it is assured a
Resolution was taken to make
the necessary Efforts to oblige
the Rebels to submit to the
Republick of Genoa, and for
that Purpose to send thither a
sufficient Body of Troops
under the Command of Prince
Lewis of Wirtemberg, who will
be accomplished by the Prince
of Culmback, and General
Smettan. ---- The Turkish
Consul had lately an Audience
of Prince Eugene, to declare to
him, that the Reports spread of
the Grand Seignior's Design to
make War against the Emperor,
or any of his Allies, were
without Foundation; his
Sublime Highness having
nothing more at heart than to
live in a perfect Harmony with
his Imperial Majesty, and the
other Christian Potentates.",rebels in Corsica,"June  3, 1732",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1732_06_17,"June 17, 1732",1732,"LISBON, Jan. 24.
WE have Advice from Coast of
Barbary of a compleat Victory
gain'd by the Troops of the
Emperor of Morocco over the
Arabian Rebels, insomuch that
the latter are thought to have
suffered too great a Loss to be
able to make Head again: It is
added, that the Emperor is to
join his Army with fresh
Troops, to march in April next
towards the Sea-Coast; and that
the Bashaw of Tangier has
received Orders to assemble an
Army on that Side, upon some
Considerable Enterprize.",metions arabian rebels ,"June 17, 1732",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1732_08_19,"August 19, 1732",1732,"Williamsburg, in Virginia, June 1.



THE Law made last Year for reviving our Staple, by appointing Inspectors in every County, who had Power to burn unmerchantable Tobacco, &c. had like to have produc'd some publick Disturbances; certain ill-minded Persons, having industriously endeavoured to persuade the poorer sort of Planters, that this Law was calculated for their Oppression and Ruin: But by the Prudence and Vigilance of the Government, the beginning Insurrections were timely suppressed. And some Papers having been since published, wherein the People are better informed as to the Design of the Law, Things seem now to grow more quiet and settled.",,"August 19, 1732",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1732_10_03,"October  3, 1732",1732,"Leghorn, Feb. 2. Letters from
Bastia mention a Detachment
of 400 Imperialists having been
surpized by the Rebels in
Ambuscade near Calezzana,
and all, to the Number of 80,
cut in Pieces.",mentions of rebels,"October  3, 1732",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1733_01_13,"January 13, 1733",1733,"From Constantinople, That every Thing there seem'd ripe for a new Insurrection ; that the People were put into continual Frights by the seditious Carriage and Insolence of the Janizaries; and the Grand Seignior was assembling an Army of 30,000 Men at the City Gates, for his own Security, in which Body there was not to be one Janizary.",,"January 13, 1733",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1733_03_24,"March 24, 1733",1733,"Dec. 10. Our Last Advices
from Spain say, that the whole
Empire of Morocco is in a
Combustion, upon the Blacks
of Mequinez having rebelled,
and set the Brother of Muley
Abdallah on the Throne, in
Aversion to the frequent
Executions which the King
caused to be made among
them; so that his Majesty will
be obliged to withdraw from
before Ceuta to quell them",rebels of Mequinez in Morocco,"March 24, 1733",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1733_04_07,"April  7, 1733",1733,"The SUBJECT on Paper
Currency Concluded.
THAT the Prices of our
Produce is influenced in
the following Manner, I
think is very plain.
When our Crop is so
large, as to make a
Plenty at the Markets of
Consumption, and
furnish them with more
than they want
(supposing the Factors
here as Orders at large,
and the Freights at
common price) then the
Prices will necessarily
run low on Export; &
farther, a Scarcity of
Ships and Freight high,
also beats down the
Price still more.
Again, when our Crop falls
short, so as not fully to supply
the Markets aboard, we then
judging the Price will advance
at places of Consumption, are
thereby encouraged to give the
more here (And so much the
more as Freights are under the
common Rate).
But what I've observed
constantly to affect most the
price of our Produce, is
chartered Ships, or Orders to
several Factors at the same
time, for a certain Commodity,
without limiting a price,
occasions bidding on each
other, and frequently runs it
above its true Value.
If any one think this is not a
rational Account, but that the
Paper Currency does the
Mischief, I desire they would
give some better Reasons; and
shew how it has raised Pitch
from 35 to 50s. in four Weeks,
and falling it again to 40s. in
ten Days: How it was, that Rice
the beginning of Crop, at 45s.
fell to 40s. advanced again to
47s. in six Weeks. When Silver
did not alter Is. per Ounce, or
Exchange vary 5 per Cent. Or
why did not the additional
Currency of 50,000I.
Merchants Notes, afford some
Proof of this Objection: That
Year it was remarkably the
Contrary, for Sterling Bills
were never plentier; (&
Produce was low) but am apt to
think, had the Case been
otherwise, all that were against
that private (beneficial) Bank,
would have asserted it as the
Cause.
But says another, let the
Planters have Money on their
Lands to pay their Debts, they'll
keep Rice, &c. as home, 'till the
Merchant is forced to give the
Price they please to demand.
Will they so? (well, when the
Sky falls they'll catch Larks)
Where is the Man of two
Grains of Sense, being in Debt,
that will keep his Goods at
home, at the Expence of 10 per
Cent. And at so much
uncertainty, that he can't be
sure, but in the End, he may
loose 20 per Cent. On the Price
of his Goods. Again, it must be
a general Contrivance, and all
agree in it, or it won't the
Objector allow, it is as easy,
and full as likely, that the
Merchants in Charlestown,
would also combine to
Counter-plot them, by engaging
not to give them more than
certain price for Produce; and it
may be, carry it father, that they
would not sell Goods out of
their Stores, but a t a higher
Advance: Persons living
compact, as in Charlestown,
may sooner unite to the
Prejudice of the Planter, than
that they could all join from
North to South, through the
whole Country, in such a
Contrivance.
Further it is to be considered,
that the greatest part of the Rice
is now made be Gentlemen of
Estates, clear of Debt, and
therefore the same might be
practiced every year past, as
well as future; but don't we see
on the Contrary, these
Gentlemen the most forward in
cleaning out, & bringing to
market: It there may be any
who at otherwise, who seems
the most prudent and greatest
Gainer? The Former no doubt:
On the Whole, I think this
objection has so little, or rather
no Reason in it, that had I not
heard it from a Person of
reputed Sense, I could not have
suggested it.
Now, As to how much
Currency is necessary for this
Province, some there are, who
pretend to determine how much
is proper and convenient for
carrying on Trade; (indeed
more than enough in Paper
would be a Nusance) but I
never yet see any regular
Scheme, or the Reason on
which it's founded, by those
very correct Gentlemen, who
say the Sum extant (I mean
before the Orders) was Enough,
And that's Enough. I believe
the Usuerer says in his Heart,
it's ever too much, the less
there is the higher the Interest;
I'm not very careful to obtain
the Smiles, nor do I any more
regard the Frowns, of these
Persons.
Humanity ought to prevail, and
if we are commanded to Love
our Neighbours as our selves,
what is there less implied, than
serving our Neighbour in any
Degree, wherein we receive
equal Advantages; therefore the
Interest should be ascertained
at a reasonable Rate, to afford
(if possible) Advantages on
both Sides.
Now the Method I would
propose for ascertaining the
Sum needful for carrying on
the Trade of this Province: Let
a LOAN-OFFICE be opened
on the Terms aforesaid, and the
Interest kept at 10 per cent. I
dare venture to say, no more
will be borrowed than what's
absolutely wanted, and
necessary for conveniency of
Trade; and to that I would
confine the Sum, for at least
some Years, tho' it should not
exceed 30,000I. Principle, nor
do I think it would come to
50,000I. Proclamation Money.
It would not appear unjust to
offer some thing for
ascertaining the Rate of
Interest, I think it admits of
only one general Rule, that it
should (and does in all well
regulated places) bear
(constant) proportion to the
Profits arising on Trade, for it's
that which ascertains also the
Value of I and every where; this
is plain, by observing those
places where Trade is carried
on with least Profit, there
Interest is lowest; and where
there is no Commerce, there is
no such thing as Interest
Money. But, as in this Country,
we have so little trade of our
own, that we can't judge of it;
the Fountain and Center of our
Commerce being in Great
Britain: However, we have
Lands, and must estimate the
annual Profit that way; here,
I'm very sorry, the Scene opens
with a very melancholy
Prospect (to those already in
Debt), our Staple Commodities
falling in price from year to
Year, threatens Proverty and
Distress to those who have
nothing else to depend on; and
of late yeards, the Experience
of many Planters confirms, I
beleive, this Observation; that
with all their Industry and Cre,
they have not been able to
make 10 per cent. Profit on
Land and Slaves; I would
advise such to be wife in time,
and judge whether it would not
be much better to sell off and
balance with the Creditor, that
what remains may be clear,
than suffer a flow (but certain)
Moth of Interest, insensibly to
catout the whole,
It seems, most of our
Neighbours to the northward
don't exceed 6 per cent. per
Ann. The Sugar Islands were at
10, 'till of late; Barbadoes (if I
am right informed) have
reduced to 8. Perhaps, it might
have been better, if they had
done it sooner, and prevented
many of their Inhabitants going
off.
Putting every thing together, I
would humbly submit it,
whether the Circumstances of
this Province can well afford
continuing the Interest at 10
per cent. perhaps it may be
necessary to do it, until such
time as the publick Debt,
105,000 old Bills be paid off
which would be erected,
according to my Scheme, in six
Years or less; at which time, if
not before, I doubt not, all will
agree to reduce Interest, unless,
in the mean time, we should be
so fortunate, as to find some
new Staple or Manufacture, to
give new Life to the Planter
and others in Trade.
To Recapitulate the Substance
of what has been offered on
this Subject.
1.
A standing Paper Currency is
proposed, to continue until the
Nature or Circumstance of our
Trade will furnish us with that
which is better, Silver or Gold.
2.
That it be put on such a
Foundation, as shall be just and
equal to all concerned, which it
is conceived it will be, if the
Bill be kept to its original
Value.
3.
That it will be effected by
issuing it on Loan, provided the
Interest be paid in Silver or
Gold.
4.
After paying the Debt now
owing by the Publick the
Interest be applied towards the
Support of Governement.
If this Scheme, or something
like it, may be thought of Use,
something further may be
offered towards it","mentions the concept of a merchant-led ""counter-plot"" ","April  7, 1733",nonslave
The South Carolina Gazette,NA,Thomas Whitemarsh,1733_06_30,"June 30, 1733",1733,"Amsterdam, April 10. 'Tis
advised from Constantinople of
the 28th of February, that the
Affairs of Persia continue to
embarrass the Ottoman Port
very much. That it had been
resolved some time before the
Date of these Letters, that the
Grand Seignior shou'd go in
Person to command the Army
in Persia, in order to animate
by his Presence, the Turks
Troops, who are averse to
engage in a War to shed
Musselmans Blood; and also
that the Grand Vizier, who has
already served against the
Persians, and who knows their
Manner of Fighting, should
accompany the Sultan; but
upon certain Representations
made of the Grand Seignior's
leaving that Capital, where the
Spirit of Rebellion was not yet
entirely extinguished, they had
altered their Opinion, and
appointed Solyman Osman,
Baffaw for that Command, with
Power Power to raise Troops in
Romelia. This new General was
ordered to set out immediately,
and all possible Preparations
were made to resist an Enemy
so bold and dangerous as the
Persian General is known to
be, and that Money, Troops and
provisions were sending in all
haste to Persia for that purpose.
'Tis added that the 2 Ships of
War, as a present to the
Algerines, sailed a few Days
before the Date, with 5000
Bombs, and were to join the
Algerine Ships, which were to
come into the Ports of the
Empire to take in Troops and
Ammunition; and that a
Squadron of ten Sultan's would
put to Sea soon, not only to
succour the Algerines, but to
endeavour to take Revenge on
the Maltese, for sinking lately
the Ship of the Turks Admiral.",on rebellious spirit near constantinople,"June 30, 1733",nonslave
The South Carolina Gazette,NA,Lewis Timothy,1734_05_04,"May  4, 1734",1734,"Leghorn, Dec. 11. We have Advice from Corsica, that the Insurrection of the Inhabitants of that Island spreads every Hour: That the Number of the Revolters in the Province of Bologna only, is upwards of 1000; and that these last were preparing to attack San Pelegrino, knowing that in case they can carry the place, they shall then be Masters of a Key to let in any Foreign Succours that shall be dispos'd to assist them. This second Rebellion of the Corsicans is far more important to the Genoese, than that which the Emperor lent his Troops to put an End to, on Account of the Desperate Resolutions which these people have taken to throw off their Yoke at all Adventures.",insurrection in Corsica,"May  4, 1734",nonslave
