"doc_id","file_name","sentence","date"
"1","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_03_11_row_1.txt","Frankfort, Nov. .","1732_03_11"
"1","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_03_11_row_1.txt","The last Letters from Italy vary much, those from Leghorn insinuating, as if the Imperialists having attack'd the Rebels in their Entrenchments at Vescovado, they were beat off with the Loss of  Men kill'd, among them a Nephew of the Duke de Doria, and  taken Prisoners;","1732_03_11"
"1","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_03_11_row_1.txt","and those from Genoa giving great Hopes of Accommodation","1732_03_11"
"2","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_03_row_2.txt","FOREIGN AFFAIRS. VIENNA, Feb. .","1732_06_03"
"2","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_03_row_2.txt","SOME Conferences have been held in the Palace on the Affairs of the Island of Corsica, wherein it is assured a Resolution was taken to make the necessary Efforts to oblige the Rebels to submit to the Republick of Genoa, and for that Purpose to send thither a sufficient Body of Troops under the Command of Prince Lewis of Wirtemberg, who will be accomplished by the Prince of Culmback, and General Smettan.","1732_06_03"
"2","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_03_row_2.txt"," The Turkish Consul had lately an Audience of Prince Eugene, to declare to him, that the Reports spread of the Grand Seignior's Design to make War against the Emperor, or any of his Allies, were without Foundation;","1732_06_03"
"2","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_03_row_2.txt","his Sublime Highness having nothing more at heart than to live in a perfect Harmony with his Imperial Majesty, and the other Christian Potentates.","1732_06_03"
"3","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_17_row_3.txt","LISBON, Jan. .","1732_06_17"
"3","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_17_row_3.txt","WE have Advice from Coast of Barbary of a compleat Victory gain'd by the Troops of the Emperor of Morocco over the Arabian Rebels, insomuch that the latter are thought to have suffered too great a Loss to be able to make Head again: It is added, that the Emperor is to join his Army with fresh Troops, to march in April next towards the SeaCoast;","1732_06_17"
"3","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_17_row_3.txt","and that the Bashaw of Tangier has received Orders to assemble an Army on that Side, upon some Considerable Enterprize.","1732_06_17"
"4","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_08_19_row_4.txt","Williamsburg, in Virginia, June .","1732_08_19"
"4","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_08_19_row_4.txt","THE Law made last Year for reviving our Staple, by appointing Inspectors in every County, who had Power to burn unmerchantable Tobacco, &c.","1732_08_19"
"4","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_08_19_row_4.txt","had like to have produc'd some publick Disturbances;","1732_08_19"
"4","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_08_19_row_4.txt","certain illminded Persons, having industriously endeavoured to persuade the poorer sort of Planters, that this Law was calculated for their Oppression and Ruin: But by the Prudence and Vigilance of the Government, the beginning Insurrections were timely suppressed.","1732_08_19"
"4","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_08_19_row_4.txt","And some Papers having been since published, wherein the People are better informed as to the Design of the Law, Things seem now to grow more quiet and settled.","1732_08_19"
"5","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_10_03_row_5.txt","Leghorn, Feb. .","1732_10_03"
"5","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_10_03_row_5.txt","Letters from Bastia mention a Detachment of  Imperialists having been surpized by the Rebels in Ambuscade near Calezzana, and all, to the Number of , cut in Pieces.","1732_10_03"
"6","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_01_13_row_6.txt","From Constantinople, That every Thing there seem'd ripe for a new Insurrection ;","1733_01_13"
"6","C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1733_01_13_row_6.txt","that the People were put into continual Frights by the seditious Carriage and Insolence of the Janizaries;","1733_01_13"
