We,Us,Our,They,Them,Their,year,source,total_words
23.31002331,0,23.31002331,23.31002331,23.31002331,46.62004662,1732,The South Carolina Gazette,429
43.40748779,5.425935974,70.53716766,59.68529571,27.12967987,37.98155182,1733,The South Carolina Gazette,1843
7.127583749,0,0,220.9550962,49.89308624,85.53100499,1734,The South Carolina Gazette,1403
30.81664099,7.704160247,7.704160247,61.63328197,38.52080123,115.5624037,1735,The South Carolina Gazette,1298
11.48105626,0,11.48105626,45.92422503,68.88633754,34.44316877,1736,The South Carolina Gazette,871
59.4530321,11.89060642,47.56242568,17.83590963,47.56242568,35.67181926,1736,The Virginia Gazette,1682
6.345177665,6.345177665,12.69035533,38.07106599,44.41624365,31.72588832,1737,The South Carolina Gazette,1576
40.26845638,8.948545861,4.474272931,26.84563758,8.948545861,26.84563758,1737,The Virginia Gazette,2235
43.84042087,8.768084174,4.384042087,43.84042087,21.92021043,30.68829461,1738,The South Carolina Gazette,2281
30.81232493,5.602240896,2.801120448,61.62464986,25.21008403,58.82352941,1738,The Virginia Gazette,3570
253.164557,0,126.5822785,0,0,0,1739,The South Carolina Gazette,79
0,0,13.27140013,139.3497014,53.08560053,92.89980093,1739,The Virginia Gazette,1507
54.44646098,54.44646098,63.52087114,77.13248639,54.44646098,108.892922,1740,The South Carolina Gazette,2204
47.9616307,0,0,47.9616307,35.97122302,71.94244604,1741,The South Carolina Gazette,834
28.5986654,19.06577693,38.13155386,23.83222116,38.13155386,47.66444233,1742,The South Carolina Gazette,2098
32.85420945,4.106776181,4.106776181,57.49486653,53.38809035,73.92197125,1743,The South Carolina Gazette,2435
21.11613876,9.049773756,30.16591252,54.29864253,24.13273002,60.33182504,1744,The South Carolina Gazette,3315
22.62443439,0,22.62443439,22.62443439,0,22.62443439,1745,The South Carolina Gazette,442
26.22377622,17.48251748,34.96503497,148.6013986,61.18881119,61.18881119,1745,The Virginia Gazette,1144
105.721393,12.43781095,55.97014925,43.53233831,31.09452736,87.06467662,1746,The South Carolina Gazette,1608
46.7519685,17.22440945,34.4488189,142.7165354,68.8976378,110.7283465,1746,The Virginia Gazette,4064
35.94967046,20.9706411,26.96225285,86.87837028,32.95386459,65.90772918,1747,The South Carolina Gazette,3338
21.45155524,10.72577762,28.60207365,60.77940651,35.75259206,60.77940651,1748,The South Carolina Gazette,2797
19.43634597,0,0,87.46355685,9.718172983,72.88629738,1749,The South Carolina Gazette,2058
67.87330317,22.62443439,90.49773756,113.1221719,67.87330317,90.49773756,1750,The South Carolina Gazette,442
0,0,0,0,59.52380952,59.52380952,1751,The South Carolina Gazette,168
17.51313485,0,0,43.78283713,13.13485114,70.0525394,1751,The Virginia Gazette,2284
