Row Labels,Sum of Passive Voice,Sum of Active Voice
1732,10,0
1733,0,0
1734,7.272727273,2.727272727
1735,10,0
1736,0,0
1737,7.5,2.5
1738,0,0
1739,10,0
1740,10,0
1741,8.333333333,1.666666667
1742,0,0
1743,10,0
1744,0,0
1745,10,0
1746,0,0
1747,0,0
1748,0,0
1749,10,0
1750,10,0
1751,0,0
1752,0,0
1753,0,0
1754,0,0
1755,0,0
1756,0,0
1757,0,0
1758,0,0
1759,0,0
1760,0,0
1761,10,0
1762,10,0
1763,10,0
1764,0,0
1765,0,0
1766,0,0
1767,0,0
1768,0,0
1769,5,5
1770,0,0
1771,0,0
1772,5,5
1773,10,0
Grand Total,153.1060606,16.89393939
