,document,count_sents,all_passives,passive_count,passive_sents_count,passive_percentages,binary,doc_id,file_name,date
0,"Boston, Feb. .",1,,0,0,0,0,1,CorpusOne_text_files/text_1732_03_07_row_1.txt,1732_03_07
1,"By a Sloop which arrived here yesterday from Jamaica, we have an Account, that an Express from Port Antonio brought Advice, That a Party consisting of  of the King's Troops, and  Negroes, commanded by a Captain, Lieutenant, and other Officers, upon entering a narrow Pass of a great Negro Town in the Mountains, several of the men were killed, and the whole Body intirely defeated;",1,were killed,1,1,1,1,1,CorpusOne_text_files/text_1732_03_07_row_1.txt,1732_03_07
2,"many of the said Party in their Flight, flung away their small Arms, and their Powder;",1,,0,0,0,0,1,CorpusOne_text_files/text_1732_03_07_row_1.txt,1732_03_07
3,"which has given great Strength and Encouragement to the Rebels , and much Concern to the Government.",1,,0,0,0,0,1,CorpusOne_text_files/text_1732_03_07_row_1.txt,1732_03_07
4,"A Letter from a Merchant in Jamaica to his Friend at London, giving an Account of the present State and Condition of that island.",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
5,"SIR, IN the last Session of our Assembly, the declining Condition of this Island was taken into Consideration, with Regard to the low Value of its Produce, which daily declining, greatly discourages the present Settlers, and those that have Estates, and hath for some Years past intirely put a Stop to the further Improvement or Settlement of this large, fertile, & valuable Island;",1,was taken,1,1,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
6,"so that for seven Years last past, instead of increasing in the Number of our Inhabitants, we have decreased at least one Third, which renders the great Charges we are at for the necessary Support of the Government the more difficult, and almost insupportable to the few remaining Inhabitants.",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
7,"To speak the Truth of our Condition, if some speedy Remedy is not found out, and some new Encouragement given, I expect to see in a few Years this Island left only in the Hands of a few Proprietors of SugarWorks, who do not amount to above , and those we compute one with another employ each  white Men, which is but ;",1,is not found,1,1,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
8,"all our other Inhabitants, and those that have other small Settlements, are going off daily.",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
9,"The Proprietors of SugarWorks, (many of whom are in Great Britain ) must stand by and keep their Interest in it till the last, as their Estates consist of great Buildings, Plantations, Utensils, large Tracts of Land well cultivated, great Quantities of Cattle, which if they remove their Slaves from, to go to other Countries, will be of no Value but a dead Loss, and so two Thirds of their Estates sunk;",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
10,this Reason will oblige the Sugar Planters to stand it the longest;,1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
11,"and God knows that is a short Space enough, considering the dismal Prospect they have of the declining Condition of their Estates, the Increase of our Rebel Negroes, and the Loss of our Trade.",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
12,"We find all the European Markets, except Great Britain supply'd by the French and Dutch Sugar Colonies, & even a great part of the British Empire likewise, as Ireland , which hath for several Years been supply'd with French Sugar;",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
13,"and the British northern Colonies, which now swarm with People (and are a daily Drain to the Sugar Colonies) supply themselves with Sugar and Molasses from the French and Dutch ;",1,,0,0,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
14,so that all the Consumption of the British Colonies (by the Restriction laid on their Trade) is reduced to Great Britain only;,1,is reduced,1,1,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
15,"and consequently what Sugars are made more than is required for that Purpose, can be of little other Use than to lower the Price and Value of even that.",1,"are made,is required",2,1,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
16,"These unhappy Circumstances have struck such a Damp on the Inhabitants of this Island, that nothing is heard but Preparations for the Northern Colonies;",1,is heard,1,1,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
17,"and Carolina begins to encourage great Numbers to adventure there, forasmuch as by the great, Goodness of his Majesty, and the Wisdom of the Parliament, the Enumeration of Rice is taken off, and they have Liberty to send it to foreign Markets directly, which will bring such a flow of Riches to that Colony as will help, I fear, to be very much the Downfal of the British West India Sugar Colonies, except some such Encouragement be given to them: And it is to be hoped his Majesty's great Goodness will indulge him to recommend the Consideration [ ] to the Wisdom of his Parliament, and that they will have such a Regard to the Welfare of Britain, as to support its principal Members, the Sugar Colonies, which employ such vast Numbers of their FellowSubjects in their Mother Country, and are a great support to the Figure they now make in Trade, by the Employment of Ships and Men, this Island alone employing yearly at least  sail of Vessels and  Mariners;",2,"is taken,be given,be hoped",3,2,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
18,"and considering the advantagious Situation of it in Time of Peace for Trade to New Spain , and in case of a War, all our West India Colonies must be lost without this Island, they having no Harbour or Ports that his Majesty could keep a Squadron in, to command these Seas and protect them;",1,must be lost,1,1,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
19,"and in case of bad Weather, which always happens amongst them once a Year, these Vessels that would be distressed, must put into an Enemy's Port or perish in the Sea, as we have no other British Settlements to Leeward off St. Christopher's but this Island.",1,would be distressed,1,1,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
20,"These Particulars, and many others too tedious to enumerate, being duly considered, I am sure there is a Necessity of doing something immediately to encourage the present Inhabitants to remain in the Country, and others to come;",1,being duly considered,1,1,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
