,docId,sentenceId,sentences,all_passives,all_passives_count,binary,doc_id,file_name,date
0,1,1,"Boston, Feb. .",,0,0,1,CorpusOne_text_files/text_1732_03_07_row_1.txt,1732_03_07
1,2,1,"By a Sloop which arrived here yesterday from Jamaica, we have an Account, that an Express from Port Antonio brought Advice, That a Party consisting of  of the King's Troops, and  Negroes, commanded by a Captain, Lieutenant, and other Officers, upon entering a narrow Pass of a great Negro Town in the Mountains, several of the men were killed, and the whole Body intirely defeated;",were killed,1,1,1,CorpusOne_text_files/text_1732_03_07_row_1.txt,1732_03_07
2,3,1,"many of the said Party in their Flight, flung away their small Arms, and their Powder;",,0,0,1,CorpusOne_text_files/text_1732_03_07_row_1.txt,1732_03_07
3,4,1,"which has given great Strength and Encouragement to the Rebels , and much Concern to the Government.",,0,0,1,CorpusOne_text_files/text_1732_03_07_row_1.txt,1732_03_07
4,5,1,"A Letter from a Merchant in Jamaica to his Friend at London, giving an Account of the present State and Condition of that island.",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
5,6,1,"SIR, IN the last Session of our Assembly, the declining Condition of this Island was taken into Consideration, with Regard to the low Value of its Produce, which daily declining, greatly discourages the present Settlers, and those that have Estates, and hath for some Years past intirely put a Stop to the further Improvement or Settlement of this large, fertile, & valuable Island;",was taken,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
6,7,1,"so that for seven Years last past, instead of increasing in the Number of our Inhabitants, we have decreased at least one Third, which renders the great Charges we are at for the necessary Support of the Government the more difficult, and almost insupportable to the few remaining Inhabitants.",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
7,8,1,"To speak the Truth of our Condition, if some speedy Remedy is not found out, and some new Encouragement given, I expect to see in a few Years this Island left only in the Hands of a few Proprietors of SugarWorks, who do not amount to above , and those we compute one with another employ each  white Men, which is but ;",is not found,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
8,9,1,"all our other Inhabitants, and those that have other small Settlements, are going off daily.",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
9,10,1,"The Proprietors of SugarWorks, (many of whom are in Great Britain ) must stand by and keep their Interest in it till the last, as their Estates consist of great Buildings, Plantations, Utensils, large Tracts of Land well cultivated, great Quantities of Cattle, which if they remove their Slaves from, to go to other Countries, will be of no Value but a dead Loss, and so two Thirds of their Estates sunk;",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
10,11,1,this Reason will oblige the Sugar Planters to stand it the longest;,,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
11,12,1,"and God knows that is a short Space enough, considering the dismal Prospect they have of the declining Condition of their Estates, the Increase of our Rebel Negroes, and the Loss of our Trade.",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
12,13,1,"We find all the European Markets, except Great Britain supply'd by the French and Dutch Sugar Colonies, & even a great part of the British Empire likewise, as Ireland , which hath for several Years been supply'd with French Sugar;",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
13,14,1,"and the British northern Colonies, which now swarm with People (and are a daily Drain to the Sugar Colonies) supply themselves with Sugar and Molasses from the French and Dutch ;",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
14,15,1,so that all the Consumption of the British Colonies (by the Restriction laid on their Trade) is reduced to Great Britain only;,is reduced,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
15,16,1,"and consequently what Sugars are made more than is required for that Purpose, can be of little other Use than to lower the Price and Value of even that.","are made,is required",2,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
16,17,1,"These unhappy Circumstances have struck such a Damp on the Inhabitants of this Island, that nothing is heard but Preparations for the Northern Colonies;",is heard,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
17,18,1,"and Carolina begins to encourage great Numbers to adventure there, forasmuch as by the great, Goodness of his Majesty, and the Wisdom of the Parliament, the Enumeration of Rice is taken off, and they have Liberty to send it to foreign Markets directly, which will bring such a flow of Riches to that Colony as will help, I fear, to be very much the Downfal of the British West India Sugar Colonies, except some such Encouragement be given to them:","is taken,be given",2,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
18,18,2,"And it is to be hoped his Majesty's great Goodness will indulge him to recommend the Consideration [ ] to the Wisdom of his Parliament, and that they will have such a Regard to the Welfare of Britain, as to support its principal Members, the Sugar Colonies, which employ such vast Numbers of their FellowSubjects in their Mother Country, and are a great support to the Figure they now make in Trade, by the Employment of Ships and Men, this Island alone employing yearly at least  sail of Vessels and  Mariners;",be hoped,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
19,19,1,"and considering the advantagious Situation of it in Time of Peace for Trade to New Spain , and in case of a War, all our West India Colonies must be lost without this Island, they having no Harbour or Ports that his Majesty could keep a Squadron in, to command these Seas and protect them;",must be lost,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
20,20,1,"and in case of bad Weather, which always happens amongst them once a Year, these Vessels that would be distressed, must put into an Enemy's Port or perish in the Sea, as we have no other British Settlements to Leeward off St. Christopher's but this Island.",would be distressed,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
21,21,1,"These Particulars, and many others too tedious to enumerate, being duly considered, I am sure there is a Necessity of doing something immediately to encourage the present Inhabitants to remain in the Country, and others to come;",being duly considered,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
22,22,1,"or I fear, in case of War, it will be so weak as to fall an easy Prey to our Potent Neighbours the French at Hispaniola, who by the great Encouragement from their Mother Country, are within a few Years grown so numerous in their Settlements and Inhabitants, as gives a dismal Prospect to us of this Island.",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
23,23,1,"One Thing I am surprized never was considered among the Means thought of for preventing the Use as well as running French Brandy, which is the lessening the Excise on Rum, the Produce of our own Sugar Colonies, which, were it used instead of French Brandy, would save the Nation as much ready Cash as goes out of it for the Purchase thereof.","am surprized,was considered",2,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
24,24,1,"Rum is the principal Commodity of this Island next to Sugar, and on which the Planters very much depended;",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
25,25,1,it generally sells here from d.,,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
26,26,1,to s.,,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
27,27,1,"per Gallon, so that  Punches of  Gallons each here, is about l.",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
28,28,1,"this Island Currency, or l.",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
29,29,1,Sterling Value;,,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
30,30,1,"that Quantity, on exportation to Great Britain , is to pay a Duty and Excise to the Crown of about [ ]l.",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
31,31,1,"Sterling, without any Drawback on Exportation, besides d.",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
32,32,1,"per Gallon Freight, [ ] the Loss of Casks, Leakage, &c.",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
33,33,1,"so that the Planter at last has a mere Trifle for a Commodity, and what is worse, we have [ ] for Rum at the Northern Colonies, [ ] buy French Molasses so cheap (which without such a Vent would be a Loss to the French ) that they furnish themselves, and export large Quantities to other Countries;",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
34,34,1,"so that our Rum that used to contribute greatly to support the contingent Charges of SugarWorks, by the heavy Duty, Excise, and Loss of the Northern Plantations Trade, will become of little other Value than to be given to Servants & Negroes;",be given,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
35,35,1,"whereas, was half the Excise to be taken off, it would greatly increase the Revenue in Great Britain , and be a more effectual Method of preventing the Use of French Brandy than any yet practiced, and would be no Prejudice to English Spirits, not no Ways lessen the Quantity usually made.",be taken,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
36,36,1,"And sure I am, it highly becomes the Wisdom of the Nation to encourage the Colonies Abroad, each of whose Inhabitants, one with another, gives Bread to three (at least) of their Fellow Subjects in their Mother Country, I may say those of this Island do so treble that Number.",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
37,37,1,"Now, could we but obtain the Liberty of exporting our Sugars to Foreign Markets, on paying the Duty it leaves in Great Britain upon Exportation, with other Encouragements, this Island might be rendered the greatest in America , and would become much more Advantagious to Great Britain , in taking off more of its Manufactures, and employing a greater Number of Shipping and Sailors, in Proportion to the Increase of its Produce.",might be rendered,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
38,38,1,"For I assure you, that four Fifths of the valuable and improveable Land in this Island is not settled or cultivated, and lies waste as a Receptacle only for our rebellious Runaway Negroes.",is not settled,1,1,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
39,39,1,"What I have said is sufficient to shew the infinite Value of this Island, its present miserable Circumstances, and the Necessity of some immediate Relief and Encouragement, to prevent the impending Ruin of the Inhabitants, and the utter Loss of this inestimable Jewel in the British Diadem.",,0,0,2,CorpusOne_text_files/text_1732_07_01_row_2.txt,1732_07_01
