"","doc_id","sentence_id","token","lemma","upos","year"
"1","doc1",1,"Boston","Boston","PROPN",1732
"2","doc1",1,",",",","PUNCT",1732
"3","doc1",1,"Feb","Feb","PROPN",1732
"4","doc1",1,".",".","PUNCT",1732
"5","doc1",1,"7","7","NUM",1732
"6","doc1",1,".",".","PUNCT",1732
"7","doc1",2,"By","by","ADP",1732
"8","doc1",2,"a","a","DET",1732
"9","doc1",2,"Sloop","Sloop","NOUN",1732
"10","doc1",2,"which","which","PRON",1732
"11","doc1",2,"arrived","arrive","VERB",1732
"12","doc1",2,"here","here","ADV",1732
"13","doc1",2,"yesterday","yesterday","NOUN",1732
"14","doc1",2,"from","from","ADP",1732
"15","doc1",2,"Jamaica","Jamaica","PROPN",1732
"16","doc1",2,",",",","PUNCT",1732
"17","doc1",2,"we","we","PRON",1732
"18","doc1",2,"have","have","VERB",1732
"19","doc1",2,"an","a","DET",1732
"20","doc1",2,"Account","account","NOUN",1732
"21","doc1",2,",",",","PUNCT",1732
"22","doc1",2,"that","that","PRON",1732
"23","doc1",2,"an","a","DET",1732
"24","doc1",2,"Express","Express","PROPN",1732
"25","doc1",2,"from","from","ADP",1732
"26","doc1",2,"Port","Port","PROPN",1732
"27","doc1",2,"Antonio","Antonio","PROPN",1732
"28","doc1",2,"brought","bring","VERB",1732
"29","doc1",2,"Advice","advice","NOUN",1732
"30","doc1",2,",",",","PUNCT",1732
"31","doc1",2,"That","that","PRON",1732
"32","doc1",2,"a","a","DET",1732
"33","doc1",2,"Party","party","NOUN",1732
"34","doc1",2,"consisting","consisting","NOUN",1732
"35","doc1",2,"of","of","ADP",1732
"36","doc1",2,"60","60","NUM",1732
"37","doc1",2,"of","of","ADP",1732
"38","doc1",2,"the","the","DET",1732
"39","doc1",2,"King","King","PROPN",1732
"40","doc1",2,"'s","'s","PART",1732
"41","doc1",2,"Troops","troops","PROPN",1732
"42","doc1",2,",",",","PUNCT",1732
"43","doc1",2,"and","and","CCONJ",1732
"44","doc1",2,"40","40","NUM",1732
"45","doc1",2,"Negroes","Negroe","NOUN",1732
"46","doc1",2,",",",","PUNCT",1732
"47","doc1",2,"commanded","command","VERB",1732
"48","doc1",2,"by","by","ADP",1732
"49","doc1",2,"a","a","DET",1732
"50","doc1",2,"Captain","captain","PROPN",1732
"51","doc1",2,",",",","PUNCT",1732
"52","doc1",2,"Lieutenant","Lieutenant","PROPN",1732
"53","doc1",2,",",",","PUNCT",1732
"54","doc1",2,"and","and","CCONJ",1732
"55","doc1",2,"other","other","ADJ",1732
"56","doc1",2,"Officers","officer","NOUN",1732
"57","doc1",2,",",",","PUNCT",1732
"58","doc1",2,"upon","upon","SCONJ",1732
"59","doc1",2,"entering","enter","VERB",1732
"60","doc1",2,"a","a","DET",1732
"61","doc1",2,"narrow","narrow","ADJ",1732
"62","doc1",2,"Pass","pass","NOUN",1732
"63","doc1",2,"of","of","ADP",1732
"64","doc1",2,"a","a","DET",1732
"65","doc1",2,"great","great","ADJ",1732
"66","doc1",2,"Negro","Negro","PROPN",1732
"67","doc1",2,"Town","town","NOUN",1732
"68","doc1",2,"in","in","ADP",1732
"69","doc1",2,"the","the","DET",1732
"70","doc1",2,"Mountains","Mountains","PROPN",1732
"71","doc1",2,",",",","PUNCT",1732
"72","doc1",2,"several","several","ADJ",1732
"73","doc1",2,"of","of","ADP",1732
"74","doc1",2,"the","the","DET",1732
"75","doc1",2,"men","man","NOUN",1732
"76","doc1",2,"were","be","AUX",1732
"77","doc1",2,"killed","kill","VERB",1732
"78","doc1",2,",",",","PUNCT",1732
"79","doc1",2,"and","and","CCONJ",1732
"80","doc1",2,"the","the","DET",1732
"81","doc1",2,"whole","whole","ADJ",1732
"82","doc1",2,"Body","body","NOUN",1732
"83","doc1",2,"intirely","intirely","ADV",1732
"84","doc1",2,"defeated","defeat","VERB",1732
"85","doc1",2,";",";","PUNCT",1732
"86","doc1",2,"many","many","ADJ",1732
"87","doc1",2,"of","of","ADP",1732
"88","doc1",2,"the","the","DET",1732
"89","doc1",2,"said","say","VERB",1732
"90","doc1",2,"Party","party","NOUN",1732
"91","doc1",2,"in","in","ADP",1732
"92","doc1",2,"their","they","PRON",1732
"93","doc1",2,"Flight","flight","NOUN",1732
"94","doc1",2,",",",","PUNCT",1732
"95","doc1",2,"flung","fling","VERB",1732
"96","doc1",2,"away","away","ADV",1732
"97","doc1",2,"their","they","PRON",1732
"98","doc1",2,"small","small","ADJ",1732
"99","doc1",2,"Arms","arm","NOUN",1732
"100","doc1",2,",",",","PUNCT",1732
"101","doc1",2,"and","and","CCONJ",1732
"102","doc1",2,"their","they","PRON",1732
"103","doc1",2,"Powder","powder","NOUN",1732
"104","doc1",2,";",";","PUNCT",1732
"105","doc1",2,"which","which","PRON",1732
"106","doc1",2,"has","have","AUX",1732
"107","doc1",2,"given","give","VERB",1732
"108","doc1",2,"great","great","ADJ",1732
"109","doc1",2,"Strength","strength","NOUN",1732
"110","doc1",2,"and","and","CCONJ",1732
"111","doc1",2,"Encouragement","encouragement","NOUN",1732
"112","doc1",2,"to","to","ADP",1732
"113","doc1",2,"the","the","DET",1732
"114","doc1",2,"Rebels","rebel","NOUN",1732
"115","doc1",2,",",",","PUNCT",1732
"116","doc1",2,"and","and","CCONJ",1732
"117","doc1",2,"much","much","ADJ",1732
"118","doc1",2,"Concern","concern","PROPN",1732
"119","doc1",2,"to","to","ADP",1732
"120","doc1",2,"the","the","DET",1732
"121","doc1",2,"Government","government","NOUN",1732
"122","doc1",2,".",".","PUNCT",1732
"123","doc1",1,"A","a","DET",1732
"124","doc1",1,"Letter","letter","PROPN",1732
"125","doc1",1,"from","from","ADP",1732
"126","doc1",1,"a","a","DET",1732
