document,count_sents,all_passives,passive_count,passive_sents_count,passive_percentages,binary,doc_id,file_name,date
"Frankfort, Nov. .",1,[],0,0,0.0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_03_11_row_1.txt,1732_03_11
"The last Letters from Italy vary much, those from Leghorn insinuating, as if the Imperialists having attack'd the Rebels in their Entrenchments at Vescovado, they were beat off with the Loss of  Men kill'd, among them a Nephew of the Duke de Doria, and  taken Prisoners;",1,['were beat'],1,1,1.0,1,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_03_11_row_1.txt,1732_03_11
and those from Genoa giving great Hopes of Accommodation,1,[],0,0,0.0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_03_11_row_1.txt,1732_03_11
"FOREIGN AFFAIRS. VIENNA, Feb. .",2,[],0,0,0.0,0,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_03_row_2.txt,1732_06_03
"SOME Conferences have been held in the Palace on the Affairs of the Island of Corsica, wherein it is assured a Resolution was taken to make the necessary Efforts to oblige the Rebels to submit to the Republick of Genoa, and for that Purpose to send thither a sufficient Body of Troops under the Command of Prince Lewis of Wirtemberg, who will be accomplished by the Prince of Culmback, and General Smettan.",1,"['have been held', 'is assured', 'was taken', 'will be accomplished']",4,1,1.0,1,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_03_row_2.txt,1732_06_03
" The Turkish Consul had lately an Audience of Prince Eugene, to declare to him, that the Reports spread of the Grand Seignior's Design to make War against the Emperor, or any of his Allies, were without Foundation;",1,[],0,0,0.0,0,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_03_row_2.txt,1732_06_03
"his Sublime Highness having nothing more at heart than to live in a perfect Harmony with his Imperial Majesty, and the other Christian Potentates.",1,[],0,0,0.0,0,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_03_row_2.txt,1732_06_03
"LISBON, Jan. .",1,[],0,0,0.0,0,3,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_17_row_3.txt,1732_06_17
"WE have Advice from Coast of Barbary of a compleat Victory gain'd by the Troops of the Emperor of Morocco over the Arabian Rebels, insomuch that the latter are thought to have suffered too great a Loss to be able to make Head again: It is added, that the Emperor is to join his Army with fresh Troops, to march in April next towards the SeaCoast;",1,"['are thought', 'is added']",2,1,1.0,1,3,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_17_row_3.txt,1732_06_17
"and that the Bashaw of Tangier has received Orders to assemble an Army on that Side, upon some Considerable Enterprize.",1,[],0,0,0.0,0,3,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_06_17_row_3.txt,1732_06_17
"Williamsburg, in Virginia, June .",1,[],0,0,0.0,0,4,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_08_19_row_4.txt,1732_08_19
"THE Law made last Year for reviving our Staple, by appointing Inspectors in every County, who had Power to burn unmerchantable Tobacco, &c.",1,[],0,0,0.0,0,4,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_08_19_row_4.txt,1732_08_19
had like to have produc'd some publick Disturbances;,1,[],0,0,0.0,0,4,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_08_19_row_4.txt,1732_08_19
"certain illminded Persons, having industriously endeavoured to persuade the poorer sort of Planters, that this Law was calculated for their Oppression and Ruin: But by the Prudence and Vigilance of the Government, the beginning Insurrections were timely suppressed.",1,"['was calculated', 'were timely suppressed']",2,1,1.0,1,4,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_08_19_row_4.txt,1732_08_19
"And some Papers having been since published, wherein the People are better informed as to the Design of the Law, Things seem now to grow more quiet and settled.",1,[],0,0,0.0,0,4,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_08_19_row_4.txt,1732_08_19
"Leghorn, Feb. .",1,[],0,0,0.0,0,5,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/Corpora_final/CorpusThree_text_files/text_1732_10_03_row_5.txt,1732_10_03
