,year,Consequence_Passive_Count,Total_Passive_Count,Percentage_Consequence_Passives,,,,,,,
1,1732,6,10,60,,,,,,,60
2,1734,1,15,6.666666667,,,,,,,6.666666667
3,1735,8,20,40,,,,,,,40
4,1736,3,27,11.11111111,,,,,,,11.11111111
5,1737,9,68,13.23529412,,,,,,,13.23529412
6,1738,13,80,16.25,,,,,,,16.25
7,1740,1,22,4.545454545,,,,,,,4.545454545
8,1741,9,18,50,,,,,,,50
9,1742,8,29,27.5862069,,,,,,,27.5862069
10,1743,9,36,25,,,,,,,25
11,1744,14,73,19.17808219,,,,,,,19.17808219
12,1745,3,36,8.333333333,,,,,,,8.333333333
13,1746,9,77,11.68831169,,,,,,,11.68831169
14,1747,6,52,11.53846154,,,,,,,11.53846154
15,1748,13,66,19.6969697,,,,,,,19.6969697
16,1749,14,50,28,,,,,,,28
17,1751,3,35,8.571428571,,,,,,,22.05186824
18,1752,12,30,40,,,,,,,
19,1753,1,8,12.5,,,,,,,
20,1754,1,5,20,,,,,,,
21,1755,12,79,15.18987342,,,,,,,
22,1756,6,18,33.33333333,,,,,,,
23,1757,4,11,36.36363636,,,,,,,
24,1759,4,34,11.76470588,,,,,,,
25,1760,9,49,18.36734694,,,,,,,
26,1761,5,17,29.41176471,,,,,,,
27,1762,2,36,5.555555556,,,,,,,
28,1763,9,26,34.61538462,,,,,,,
29,1764,6,40,15,,,,,,,
30,1765,6,26,23.07692308,,,,,,,
31,1766,8,106,7.547169811,,,,,,,
32,1767,2,26,7.692307692,,,,,,,
33,1768,7,48,14.58333333,,,,,,,
34,1769,4,42,9.523809524,,,,,,,
35,1770,2,24,8.333333333,,,,,,,
36,1771,21,93,22.58064516,,,,,,,
37,1772,7,16,43.75,,,,,,,
38,1773,15,41,36.58536585,,,,,,,
39,1774,5,51,9.803921569,,,,,,,
40,1775,4,37,10.81081081,,,,,,,
