year,source,pronoun,frequency,,pronoun_prop
1732,The South Carolina Gazette,we,23.31002331002331,,We
1733,The South Carolina Gazette,we,43.40748779164406,,We
1734,The South Carolina Gazette,we,7.127583749109053,,We
1735,The South Carolina Gazette,we,30.816640986132512,,We
1736,The South Carolina Gazette,we,11.481056257175661,,We
1736,The Virginia Gazette,we,59.45303210463734,,We
1737,The South Carolina Gazette,we,6.345177664974619,,We
1737,The Virginia Gazette,we,40.26845637583893,,We
1738,The South Carolina Gazette,we,43.84042086804033,,We
1738,The Virginia Gazette,we,30.81232492997199,,We
1739,The South Carolina Gazette,we,253.1645569620253,,We
1739,The Virginia Gazette,we,0,,We
1740,The South Carolina Gazette,we,54.44646098003629,,We
1741,The South Carolina Gazette,we,47.961630695443645,,We
1742,The South Carolina Gazette,we,28.59866539561487,,We
1743,The South Carolina Gazette,we,32.85420944558521,,We
1744,The South Carolina Gazette,we,21.116138763197586,,We
1745,The South Carolina Gazette,we,22.624434389140273,,We
1745,The Virginia Gazette,we,26.223776223776223,,We
1746,The South Carolina Gazette,we,105.72139303482588,,We
1746,The Virginia Gazette,we,46.751968503937015,,We
1747,The South Carolina Gazette,we,35.94967046,,We
1748,The South Carolina Gazette,we,21.451555237754736,,We
1749,The South Carolina Gazette,we,19.43634596695821,,We
1750,The South Carolina Gazette,we,67.87330316742081,,We
1751,The South Carolina Gazette,we,0,,We
1751,The Virginia Gazette,we,17.513134851138354,,We
1752,The South Carolina Gazette,we,108.69565217391305,,We
1752,The Virginia Gazette,we,19.53125,,We
1753,The South Carolina Gazette,we,31.25,,We
1754,The South Carolina Gazette,we,0,,We
1754,The Virginia Gazette,we,83.33333333333333,,We
1755,The South Carolina Gazette,we,50.81300813,,We
1755,The Virginia Gazette,we,16.10305958132045,,We
1756,The South Carolina Gazette,we,44.69273743,,We
1756,The Virginia Gazette,we,42.55319149,,We
1757,The South Carolina Gazette,we,60.120240480961925,,We
1759,The South Carolina Gazette,we,58.72931126534971,,We
1760,The South Carolina Gazette,we,29.182879377431906,,We
1761,The South Carolina Gazette,we,67.56756756756756,,We
1761,The Virginia Gazette,we,72.46376811594203,,We
1762,The South Carolina Gazette,we,21.413276231263385,,We
1763,The South Carolina Gazette,we,55.749128919860624,,We
1764,The South Carolina Gazette,we,45.537340619307834,,We
1765,The South Carolina Gazette,we,66.22516556,,We
1766,The South Carolina Gazette,we,57.92522380200106,,We
1766,The Virginia Gazette,we,43.561121698883746,,We
1767,The South Carolina Gazette,we,104.16666666666666,,We
1767,The Virginia Gazette,we,0,,We
1768,The South Carolina Gazette,we,0,,We
1768,The Virginia Gazette,we,24.928774928774928,,We
1769,The South Carolina Gazette,we,29.49852507374631,,We
1769,The Virginia Gazette,we,36.496350364963504,,We
1770,The South Carolina Gazette,we,56.074766355140184,,We
1770,The Virginia Gazette,we,133.33333333333334,,We
1771,The South Carolina Gazette,we,169.33207902163687,,We
1771,The Virginia Gazette,we,8.066684592632429,,We
1772,The South Carolina Gazette,we,0,,We
1772,The Virginia Gazette,we,0,,We
1773,The South Carolina Gazette,we,0,,We
1773,The Virginia Gazette,we,41.87604690117253,,We
1774,The South Carolina Gazette,we,26.472534745201852,,We
1774,The Virginia Gazette,we,51.679586563307495,,We
1775,The South Carolina Gazette,we,0,,We
1775,The Virginia Gazette,we,32.40440699935191,,We
1732,The South Carolina Gazette,us,0,,Us
1733,The South Carolina Gazette,us,5.425935973955507,,Us
1734,The South Carolina Gazette,us,0,,Us
1735,The South Carolina Gazette,us,7.704160246533128,,Us
1736,The South Carolina Gazette,us,0,,Us
1736,The Virginia Gazette,us,11.890606420927467,,Us
1737,The South Carolina Gazette,us,6.345177664974619,,Us
1737,The Virginia Gazette,us,8.948545861,,Us
1738,The South Carolina Gazette,us,8.768084173608067,,Us
1738,The Virginia Gazette,us,5.602240896358543,,Us
1739,The South Carolina Gazette,us,0,,Us
1739,The Virginia Gazette,us,0,,Us
1740,The South Carolina Gazette,us,54.44646098003629,,Us
1741,The South Carolina Gazette,us,0,,Us
1742,The South Carolina Gazette,us,19.065776930409914,,Us
1743,The South Carolina Gazette,us,4.1067761806981515,,Us
1744,The South Carolina Gazette,us,9.049773755656108,,Us
1745,The South Carolina Gazette,us,0,,Us
