newspaper,newspaper_ID_histCommons,printer,print_location,date,written_date,year,reference_type,reference_location,author_informant_gender,text,notes
The Virginia Gazette,1,William Parks,"Williamsburg, Virginia",1737_04_08,"April 8, 1737",1737,intended insurrection,Antigua and Barbuda,unknown,"In one of our Gazettes,
we gave an Account of a
Plot of the Slaves, against
the white People in
Antigua; and we have
now the following more
particular Account, viz.
Extract of a Letter from
Antigua, Oct. 24.
'Here has been a general Stop
to all Business, occasioned by
the happy Discovery of an
accused Negro Plot, which
should have been perpetrated
on the 11th Instant, the
Anniversary of the King's
Coronation, on which Day the
General usually gives a
handsome Ball to the
Gentlemen and Ladies of the
whole Island; but this was
postpon'd 'till the 30th Instant,
upon Account of the Death of
the General's Son at St.
Christophers some little Time
ago: This was the only
Preservative to all our Lives.
The Plot was thus, viz. One
Court, a Negro Man belonging
to Thomas Kirby, Esq; was the
chief Person in this Affair;
Tomboy, a Negro Man
belonging to Mr. Thomas
Hanston; and Hercules, a
Negro Man belonging to Mr.
John Christophers, were to
have been this King Courts
head Generals; and while the
Gentlemen and Ladies were
diverting themselves at the
Ball, which was to have been
held at Mr. Christopher
Dunbar's new House, they were
to convey a great Quantity of
Gun-powder into the Cellar,
and blow the House up: At the
same Time, this King Court,
Tomboy, and Hercules, were to
head a Party of Font Hundred
Men each; one from the East
End of the Town, one from
Otter's Pasture, and one from
Morgan's Pasture, all armed
with Cutlasses, and to fall on
all the Whites in the Town,
Men, Women, and Children,
without Reserve, at the same
Time the House blew up, which
was to be a general Signal to
the other Parts of the Island,
(for they were to place
themselves, or at least look out
on several Eminencies, which,
with a false Fire they were to
make at each Place) was to
convey the Signal through the
Island; then the Negros of each
Plantation were to rise and
destroy all the Whites in their
respective Districts, and so
have made themselves sole
Masters of the Island. How this
happy Discovery was made, is
hardly to be accounted for but
some kind Hand of Providence
induc'd the Magistrates to
enquire more strictly into their
Proceedings than usually they
had done, for playingatDice,
&c. which was contrary to the
wholesome Laws of this Island,
they still discover'd more and
more, till at last this Court,
Tomboy, and Hercules being
suspected, for former Crimes
and high Misdemeaners, were
taken up, and after some strict
Examination, found sufficient
Cause to commit them; and still
more and more Evidences
appearing against them, they
were at length convicted on the
19th Instant at Night. The Day
following, King Court was
brought to the Place of
Execution, there was laid
extended on a Wheel, seiz'd by
the Wrists and Ancles, and so
laid basking in the Sun for the
full Space of an Hour and a
Quarter, or more, when he
begg'd Leave to plead; to which
the Justices gave their Assent,
and be acknowledged every
Thing that was alledged against
him, and what his General
Tomboy had confess'd in Prison
the same Morning, when he
was affor'd his Time drew near
for Execution. At last about
Noon, Mr. King Court (for so
they had actually made him,
and bowed the Knee to him at a
very great Feast they had a
little before the Day they
intended to prosecute their
accurs'd Design) was broke on
the Wheel, and his Kingly Cap
and Canopy was found in some
Negro's Possession; Tomboy
was broke on the Wheel on
Thursday, and Hercules on
Friday; their Bones were broke,
and after, their Heads were cut
off, and stuck up on a Pole of
some considerable Height. Four
more of the Heads of these
honest Gentlemen were burnt
the same Dav in Otter's Pasture,
and To-morrow will be Seven
more, and so many as they can
find leading Men in this Plot.
This is all I can say to the
Affair at present, only that it
puts us all into the utmost
Confusion; all our People are
under Arms, and 'tis believed
will continue so till after
Christmas.","Antigua conspiracy; uses the term ""plot"""
The Virginia Gazette,1,William Parks,"Williamsburg, Virginia",1737_05_20,"May 20, 1737",1737,intended insurrection,Antigua and Barbuda,unknown,"Boston, March 15. We have an
Account from Antigua, That
there has been 60 Negroes
executed there, on Account of
their late Conspiracy; that
many of the Executions were
by Burning, and the Rack,
which many of them endured
with Obduracy. Four of these
Wretches were hung upon
Gibbets in Irons, in a
Quadrangle, so that they cou'd
see and speak to one another;
and they blamed themselves for
not putting their intended
Design in Execution sooner:
One of these was taken down,
on his Promise of making great
Discoveries, after he had
endured his Torments to the
Seventh Day; but when he was
nurs'd up, was as stubborn as
ever; and for that Reason
suffered a second Time. Among
those that were burnt, there was
one Grey with Age, that had
but one Leg. The Number of
those yet to be tried, may be
partly conjuctur'd; for there
were Forty add confin'd on
Board of Capt. Sulliff's Vessel,
for want of Prison room. One
of those miserable Creatures,
during his Confinement, by
some Means or other got a
Knife; but being handeuff'd and
pion'd so as not able to come at
his Throat, stbb'd himself in 7
or 8 Places; but the Pain of his
Wounds caus'd him to make
some unusual Noise, whereby
he was discover'd. and
immediately brought to the
Wheel and broke. On the Day
of Capt. Davis's Departure,
Two Free Negroes were
brought to their Trial, whose
Estates are suppos'd to be
worth 2000l. each. The People
are much harrass'd with
Watching; for it comes to every
White Man's Turn to be on his
Guard, and exercise his Arms.
once in 4 Days.
By the Report of the
Gentlemen appointed by the
Governor and Council of
Antigua, to examine into the
Affair of the said Conspiracy, it
appears, That after the
Execution of 12 of the chief
Conspirators, frequent Saturday
Nights Meetings of great
Numbers if Conspirators, had
been for a great while held at
several Places; and that by
drinking a Health in Rum, or
some other Liquors, mixt with
Grave Dirt, and sometimes
Cocks-blood infused, an Oath
of Secrecy and Fidelity had
been taken by many Hundred
Slaves, whereof the Words
were various; but the Tenor was
to stand by and be true to each
other, and to kill the Whites,
Man, Woman, and Child; to
assist in the Execution of this
when called upon by the
Chiefs, and to suer Death,
rather than discover.",Antigua conspiracy
The Virginia Gazette,1,William Parks,"Williamsburg, Virginia",1737_05_27,"May 27, 1737",1737,rebels,Antigua and Barbuda,unknown,"We are in a great deal of Trouble in this Island; the Burning of the Negroes , hanging them on Gibbets alive, Racking them upon the Wheel, &c. takes up almost all our Time, that from the 20th of October to this Day, there have been destroyed Sixty fine sensible Negroe Men, most of them Tradesmen, as Carpenters, Masons, and Coopers. I am almost dead with watching and warding, as are many more. They were going to destroy all the white Inhabitants on the Island. —Court, the King of the Negros , who was to head the Insurrection , Tomboy, their General, and Hercules their Lieutenant-General, were all rack'd upon the Wheel, and died with amazing Obstinacy.—Mr. Archibald Hamilton's Harry, after he was condemn'd, stuck himself with a Knife in Eighteen Places, Four whereof were mortal, which kill'd him.—Col. Martin's Jemmy, who was hung up alive from Noon to Eleven at Night, was then taken down to give Information.— Col. Morgan's Ned, who after he had been hung up Seven Days and Seven Nights, that his Hands grew too small for his Hand-Cuffs, he got them out and raised himself up, and fell down from a Gibbet 15 Feet high without any Harm; he was revived by Cordials and Broth, in hopes to bring him to at Confession; but he would not confess, and was hung up again, and in a Day and Night after expir'd.— Mr. Yeoman's Quasby Coomach, jump'd out of the Fire half burnt, but was thrown in again.—And Mr. Lyon's Tim jump'd out of the Fire, and promis'd to declare all, but it took no Effect.—In short our Island is in such a miserable Condition, that I wish I could get any Sort of Employment in England.""",Antigua conspiracy
The Virginia Gazette,1,William Parks,"Williamsburg, Virginia",1739_09_14,"September 14, 1739",1739,rebels,Jamaica,unknown,"Boston, Aug 13. We hear from
Jamaica, that the Negroes who
had submitted to the
Government, had been out and
brought in the rest of the
rebellious Negroes (upwards of
400) upon the some Terms that
they have submitted.",maroons or enslaved rebels being broght to government in Jamaica
The Virginia Gazette,1,William Parks,"Williamsburg, Virginia",1740_01_18,"January 18, 1740",1740,rebels,"Charleston, South Carolina",male,"BOSTON, November 26.
Extract of a Letter from on
board the Squirrel Man of
War, at Charles Town, to a
Gentleman in Boston.
I Let you know, that we have
had the Fortune of taking about
3 Weeks ago, off St. Augustine,
a Spanish Vessel, the Crew
consisting of 9 Men; her Cargo
was Flour, Butter, &c. which
they had bought of Capt. Kip,
of New-York, who is there at
Present, but dares not venture
out, for fear of being made a
Prize. Our Prize had also on
board 700 Ounces of Silver:
Our Captain has used the
Spanish Crew with the utmost
Humanity. We arriv'd here
about Week ago with the Prize;
& shall sail again on another
Cruise in about 10 Days, with
Two or Three Men of War. We
have News, that General
Oglethorpe is going with a
great Army both of Soldiers
and Indians, to take St.
Augustine: This Day our
Captain had a Letter from him,
which was sent with all
possible Haste; which I
suppose is for us to dispatch for
that Place. The rebellions
Negroes are quite stopt from
doing any further Mischief,
many of them having been put
to the most cruel Death, as
Examples to others. The yellow
Fever is abated; but has been
very mortal.",(printed in SC gazette as well) general oglethorpe's resolve on invading Florida; mentions the slaves in rebellion and returning rebellious slaves to SC and Georgian slaveholders
The Virginia Gazette,1,William Hunter,"Williamsburg, Virginia",1752_09_29,"September 29, 1752",1752,rebels,Guadeloupe,unknown,"NEW-YORK, August 17.
By Capt. Tudor, who arriv'd
here last Week from Anguilla,
we have Advice, that the
French Guarda Costa's were
cruising very thick about
Guardaloup and Granterre, and
on Pretence of preventing any
Assistance to a Gang of
rebellious Negroes, attack all
the English Vessels they meet:
—That one Capt. Bass, being
chased by two of them, sought
his Way through, and got off
with his Mast wounded, and the
Wyth of his Topping-list shot
away:—And that Capt.
Symmons, in a Schooner
belonging to St. Eustatia was
drove ashore by one of them, a
Sloop of ten Guns, when the
Men escap'd, but the Schooner
was got off again, and carried
away by the Enemy.","preventing assistance to ""rebellious negroes"""
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1766_03_07,"March 7, 1766",1766,intended insurrection,South Carolina,male,"By Captain Mason, from South
Carolina, we have advice that
the inhabitants there have been
greatly alarmed with the report
of an intended insurrection of
the Negroes to massacre the
white people throughout that
province, which was to have
been put in execution on
Christmas Eve, and during the
Holidays, but was happily
discovered by a Negro woman;
that after the discovery the
inhabitants were under arms
day and night, during the
Holidays, and the strictest
search made to find out the
ringleaders; that circumstances
appeared very strong against
them, many fire arms being
found concealed; and at several
plantations in the country, the
house arms were found to have
their touch-holes plugged up;
that four or five of the
ringleaders were in custody,
and others daily bringing in,
but their trails had not come on
when he sailed,","intended insurrection in South Carolina of slaves to ""massacre the white people"""
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1766_03_28,"March 28, 1766",1766,occurred insurrections,Suriname,unknown,"Private letters from Holland
mention that despatches of
importance had been received
from the Sieur John Rodier,
Governour of Curacoa, from
which uneasy apprehensions
were formed concerning the
safety of the Dutch colony of
Surinam, at present threatened
with the encroachments of the
French, and a fresh revolt of the
rebellious Negroes.","insurrection in suriname; a ""fresh revolt"""
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1767_03_19,"March 19, 1767",1767,occurred insurrections,Grenada,male,"By Captain Dyer, of the Anna
Teresa packet, who arrived here
on Sunday evening last, we
have advice that on the 28th of
December last a brig, bound to
Barbados, from Newfoundland,
run ashore on Need Point, off
Bridgetown, and was entirely
lost. The Captain further
informs us that an insurrection
of the Negroes has happened at
the island of Grenada, where a
body of them, to the number of
six or seven hundred, who had
chiefly deserted from the
French inhabitants, had taken
possession of some
inaccessible mountains, from
whence they made frequent
sallies, and committed terrible
devastations upon their master,
many of whom they had killed.
When Captain Dyer came away
General Melvil had sent a party
of 40 men, with one cohorn, to
endeavour to suppress them,
but with what success Captain
Dyer had not time to learn. ",insurrection in Grenada
The Virginia Gazette,1,Alexander Purdie and John Dixon,"Williamsburg, Virginia",1767_04_16,"April 16, 1767",1767,rebels,Grenada,male,"By Captain Richardson, who
arrived here yesterday, in 33
days from the Grenades, we
hear that the rebellious Negroes
who had fled to the mountains
in that island were entirely
suppressed, the ringleaders
punished, and the others
properly disposed of. He
informs us of a very remarkable
trial in that place, wherein a
French Gentleman and his son
had been tried for the death of a
cooper, supposed to be
murdered on board a vessel, but
that they ware both acquitted.
The cooper had, it is said,
discovered some smuggling of
the Frenchmen, by which, as it
was imagined, he lost his life.
This may induce smugglers to
be a little more free or bold, but
at the same time it may not be
amiss to observe that they may
have a higher tribunal to appear
before hereafter, especially
when murder is the
consequences of their illegal
attachments.",insurrection in Grenada
