,docId,sentenceId,sentences,all_passives,all_passives_count,binary,doc_id,file_name,date
0,1,1,"In one of our Gazettes, we gave an Account of a Plot of the Slaves, against the white People in Antigua;",,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
1,2,1,"and we have now the following more particular Account, viz.",,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
2,3,1,"Extract of a Letter from Antigua, Oct. .",,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
3,4,1,"'Here has been a general Stop to all Business, occasioned by the happy Discovery of an accused Negro Plot, which should have been perpetrated on the th Instant, the Anniversary of the King's Coronation, on which Day the General usually gives a handsome Ball to the Gentlemen and Ladies of the whole Island;",should have been perpetrated,1,1,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
4,5,1,"but this was postpon'd 'till the th Instant, upon Account of the Death of the General's Son at St. Christophers some little Time ago: This was the only Preservative to all our Lives.",,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
5,6,1,"The Plot was thus, viz.",,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
6,7,1,"One Court, a Negro Man belonging to Thomas Kirby, Esq;",,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
7,8,1,was the chief Person in this Affair;,,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
8,9,1,"Tomboy, a Negro Man belonging to Mr. Thomas Hanston;",,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
9,10,1,"and Hercules, a Negro Man belonging to Mr. John Christophers, were to have been this King Courts head Generals;",,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
10,11,1,"and while the Gentlemen and Ladies were diverting themselves at the Ball, which was to have been held at Mr. Christopher Dunbar's new House, they were to convey a great Quantity of Gunpowder into the Cellar, and blow the House up: At the same Time, this King Court, Tomboy, and Hercules, were to head a Party of Font Hundred Men each;",have been held,1,1,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
11,12,1,"one from the East End of the Town, one from Otter's Pasture, and one from Morgan's Pasture, all armed with Cutlasses, and to fall on all the Whites in the Town, Men, Women, and Children, without Reserve, at the same Time the House blew up, which was to be a general Signal to the other Parts of the Island, (for they were to place themselves, or at least look out on several Eminencies, which, with a false Fire they were to make at each Place) was to convey the Signal through the Island;",,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
12,13,1,"then the Negros of each Plantation were to rise and destroy all the Whites in their respective Districts, and so have made themselves sole Masters of the Island.",,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
13,14,1,"How this happy Discovery was made, is hardly to be accounted for but some kind Hand of Providence induc'd the Magistrates to enquire more strictly into their Proceedings than usually they had done, for playingatDice, &c.","was made,be accounted",2,1,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
14,15,1,"which was contrary to the wholesome Laws of this Island, they still discover'd more and more, till at last this Court, Tomboy, and Hercules being suspected, for former Crimes and high Misdemeaners, were taken up, and after some strict Examination, found sufficient Cause to commit them;","being suspected,were taken",2,1,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
15,16,1,"and still more and more Evidences appearing against them, they were at length convicted on the th Instant at Night.",,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
16,17,1,"The Day following, King Court was brought to the Place of Execution, there was laid extended on a Wheel, seiz'd by the Wrists and Ancles, and so laid basking in the Sun for the full Space of an Hour and a Quarter, or more, when he begg'd Leave to plead;",was brought,1,1,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
17,18,1,"to which the Justices gave their Assent, and be acknowledged every Thing that was alledged against him, and what his General Tomboy had confess'd in Prison the same Morning, when he was affor'd his Time drew near for Execution.","be acknowledged,was alledged",2,1,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
18,19,1,"At last about Noon, Mr. King Court (for so they had actually made him, and bowed the Knee to him at a very great Feast they had a little before the Day they intended to prosecute their accurs'd Design) was broke on the Wheel, and his Kingly Cap and Canopy was found in some Negro's Possession;",was found,1,1,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
19,20,1,"Tomboy was broke on the Wheel on Thursday, and Hercules on Friday;",was broke,1,1,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
20,21,1,"their Bones were broke, and after, their Heads were cut off, and stuck up on a Pole of some considerable Height.","were broke,were cut",2,1,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
21,22,1,"Four more of the Heads of these honest Gentlemen were burnt the same Dav in Otter's Pasture, and Tomorrow will be Seven more, and so many as they can find leading Men in this Plot.",were burnt,1,1,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
22,23,1,"This is all I can say to the Affair at present, only that it puts us all into the utmost Confusion;",,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
23,24,1,"all our People are under Arms, and 'tis believed will continue so till after Christmas.",,0,0,1,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_04_08_row_1.txt,1737_04_08
24,25,1,"Boston, March .",,0,0,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_20_row_2.txt,1737_05_20
25,26,1,"We have an Account from Antigua, That there has been  Negroes executed there, on Account of their late Conspiracy;",,0,0,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_20_row_2.txt,1737_05_20
26,27,1,"that many of the Executions were by Burning, and the Rack, which many of them endured with Obduracy.",,0,0,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_20_row_2.txt,1737_05_20
27,28,1,"Four of these Wretches were hung upon Gibbets in Irons, in a Quadrangle, so that they cou'd see and speak to one another;",were hung,1,1,2,C:/Users/chloe/OneDrive - UCB-O365/Masters Thesis 2024/Computational Text Mining/PassivePy/Corpus_Two/CorpusTwo_text_files/text_1737_05_20_row_2.txt,1737_05_20
