,year,we_per_10k_words,us_per_10k_words,our_per_10k_words,ours_per_10k_words,they_per_10k_words,them_per_10k_words,their_per_10k_words,theirs_per_10k_words,source
0,1736,34.48275862,0,0,0,172.4137931,103.4482759,137.9310345,0,Virginia Gazette
1,1737,28.34868887,7.087172218,35.43586109,0,92.13323884,49.61020553,77.9588944,0,Virginia Gazette
2,1738,0,0,0,0,0,0,0,0,0
3,1739,256.4102564,0,0,0,256.4102564,0,0,0,Virginia Gazette
4,1740,139.5348837,46.51162791,139.5348837,0,46.51162791,46.51162791,0,0,Virginia Gazette
5,1741,0,0,0,0,0,0,0,0,0
6,1742,0,0,0,0,0,0,0,0,0
7,1743,0,0,0,0,0,0,0,0,0
8,1744,0,0,0,0,0,0,0,0,0
9,1745,0,0,0,0,0,0,0,0,0
10,1746,0,0,0,0,0,0,0,0,0
11,1747,0,0,0,0,0,0,0,0,0
12,1748,0,0,0,0,0,0,0,0,0
13,1749,0,0,0,0,0,0,0,0,0
14,1750,0,0,0,0,0,0,0,0,0
15,1751,0,0,0,0,0,0,0,0,0
16,1752,85.47008547,0,0,0,85.47008547,170.9401709,0,0,Virginia Gazette
17,1753,0,0,0,0,0,0,0,0,0
18,1754,0,0,0,0,0,0,0,0,0
19,1755,0,0,0,0,0,0,0,0,0
20,1756,0,0,0,0,0,0,0,0,0
21,1757,0,0,0,0,0,0,0,0,0
22,1758,0,0,0,0,0,0,0,0,0
23,1759,0,0,0,0,0,0,0,0,0
24,1760,0,0,0,0,0,0,0,0,0
25,1761,0,0,0,0,0,0,0,0,0
26,1762,0,0,0,0,0,0,0,0,0
27,1763,0,0,0,0,0,0,0,0,0
28,1764,0,0,0,0,0,0,0,0,0
29,1765,0,0,0,0,0,0,0,0,0
30,1766,52.35602094,0,0,0,0,52.35602094,104.7120419,0,Virginia Gazette
31,1767,19.24927815,19.24927815,0,0,96.24639076,48.12319538,48.12319538,0,Virginia Gazette
32,1768,81.30081301,0,0,0,81.30081301,0,40.6504065,0,Virginia Gazette
33,1769,38.91050584,38.91050584,0,0,0,38.91050584,38.91050584,0,Virginia Gazette
34,1770,82.6446281,0,0,0,247.9338843,41.32231405,82.6446281,0,Virginia Gazette
35,1771,129.8701299,0,0,0,64.93506494,64.93506494,64.93506494,0,Virginia Gazette
36,1772,39.76143141,19.88071571,99.40357853,0,318.0914513,119.2842942,79.52286282,0,Virginia Gazette
37,1773,61.50061501,0,0,0,104.5510455,123.00123,79.95079951,0,Virginia Gazette
38,1774,33.22259136,22.14839424,33.22259136,0,88.59357697,66.44518272,143.9645626,0,Virginia Gazette
39,1775,96.25915038,21.32687763,65.70983918,1.152804196,55.33460142,33.43132169,77.23788115,0,Virginia Gazette
