Year of arrival at port of disembarkation,Voyage ID,Vessel name,,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name,,Date,latitude,longitude
1732,100135,Hopewell,,"Barbados, place unspecified",Charleston,1,"Haren, Stephen",,1732-01-01,32.78096,-79.93554
1732,100136,Wando,,"Jamaica, place unspecified",Charleston,15,"Baker, Rich",,1732-01-01,32.78096,-79.93554
1732,100137,Pineapple,,"Antigua, place unspecified",Charleston,46,"Hinckley, William",,1732-01-01,32.78096,-79.93554
1732,100138,Loyall Nancy,,"Barbados, place unspecified",Charleston,4,"Bennit, Francis",,1732-01-01,32.78096,-79.93554
1732,100139,Elizabeth,,"Virginia, port unspecified",Charleston,13,"Paine, Ephraim",,1732-01-01,32.78096,-79.93554
1732,100140,King George,,"Barbados, place unspecified",Charleston,43,"Ivy, Lemuel",,1732-01-01,32.78096,-79.93554
1732,100141,Londonberry,,"Montserrat, port unspecified",Charleston,5,"Blake, Richard",,1732-01-01,32.78096,-79.93554
1732,100142,Virgins Venture,,"Barbados, place unspecified",Charleston,25,"Bradshaw, Jas.",,1732-01-01,32.78096,-79.93554
1732,100143,,,"Barbados, place unspecified",Charleston,4,,,1732-01-01,32.78096,-79.93554
1732,100144,Wando,,"Jamaica, place unspecified",Charleston,5,"Cartnell, Robert",,1732-01-01,32.78096,-79.93554
1732,100145,Saint Phillip,,"St. Kitts, port unspecified",Charleston,18,"Dewar, George",,1732-01-01,32.78096,-79.93554
1732,100146,Nights Rambler,,New York,Charleston,5,"Crispin, Richard",,1732-01-01,32.78096,-79.93554
1733,100147,Glasgow,,"Barbados, place unspecified",Charleston,13,"Warden, William",,1733-01-01,32.78096,-79.93554
1733,100148,America,,"Barbados, place unspecified",Charleston,6,"West, John",,1733-01-01,32.78096,-79.93554
1733,100149,Pineapple,,"Jamaica, place unspecified",Charleston,11,"Sigourney, Andrew",,1733-01-01,32.78096,-79.93554
