Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name, resistance label,Date,latitude,longitude
1732,26012,Edward,,"Africa, port unspecified",Charleston,,,,1732-01-01,#N/A,#N/A
1732,16653,Amoretta,Bristol,Calabar,Charleston,194,"Seaborn, James",,1732-01-01,4.95,8.31667
1732,16655,Aurora,Bristol,Calabar,Charleston,,"Muff, William",,1732-01-01,4.95,8.31667
1732,16696,Susanna,Bristol,Calabar,Charleston,,"Holland, Edmund",,1732-01-01,4.95,8.31667
1732,16707,Berkley,Bristol,"Africa, port unspecified",Charleston,,"Stockdale, Peregrine",,1732-01-01,#N/A,#N/A
1732,16723,Greyhound,Bristol,"Africa, port unspecified",Charleston,280,"Hallden, Edward",,1732-01-01,#N/A,#N/A
1732,76702,Molly,London,Gambia,Charleston,,"Carruthers, John",,1732-01-01,13.45306,-16.5775
1733,25991,London Merchant,London,"Africa, port unspecified",Charleston,,"Thomas, John",,1733-01-01,#N/A,#N/A
1733,16702,Amoretta,Bristol,"Africa, port unspecified",Charleston,,"Jones, David",,1733-01-01,#N/A,#N/A
1733,16710,Bettys Hope,Bristol,Calabar,Charleston,,"Little, Edward",,1733-01-01,4.95,8.31667
1733,16715,Cato,Bristol,"Africa, port unspecified",Charleston,,"Kennedy, William",,1733-01-01,#N/A,#N/A
1733,16727,Hill,Bristol,Loango,"South Carolina, place unspecified",,"Cole, Robert",,1733-01-01,-4.65194,11.8125
1733,16740,Pearle Gally,Bristol,Malembo,"South Carolina, place unspecified",,"Hughes, Jenkin",,1733-01-01,-5.33333,12.18333
1733,16746,Shepherd,Bristol,Cabinda,Charleston,,"Ford, Simon",,1733-01-01,-5.55,12.2
1733,16760,Greyhound,Bristol,"Africa, port unspecified",Charleston,,"Hallden, Edward",,1733-01-01,#N/A,#N/A
1733,16773,Rainbow,Bristol,"Africa, port unspecified",Charleston,,"Morgan, Richard",,1733-01-01,#N/A,#N/A
1733,16775,Scipio,Bristol,Gambia,Charleston,,"Gordon, William",,1733-01-01,13.45306,-16.5775
