Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name, resistance label,Date,latitude,longitude 
1736,25713,Pretty Betsey,Gambia,London,Lower James River,,"Boys, John",,1736-01-01,13.45306,-16.5775
1736,16816,Aurora,Bonny,Bristol,Lower James River,160,"Tucker, Timothy",,1736-01-01,4.43333,7.16667
1736,16818,Betty Snow,"Africa, port unspecified",Bristol,York River,400,"Phelps, James",,1736-01-01,#N/A,#N/A
1736,16819,Bridget,Cabinda,Bristol,South Potomac,150,"Clarke, William",,1736-01-01,-5.55,12.2
1736,16826,Indian Queen,"Africa, port unspecified",Bristol,Rappahannock,201,"Blanning, John",,1736-01-01,#N/A,#N/A
1736,16838,Prince of Orange,Calabar,Bristol,York River,251,"Bird, Japhet",Vessel's boats attacked from shore,1736-01-01,4.95,8.31667
1736,16843,Swallow,"Africa, port unspecified",Bristol,York River,196,"Colt, John",,1736-01-01,#N/A,#N/A
1736,16844,Withers,"Africa, port unspecified",Bristol,York River,275,"Webb, Samuel<br/> Muff, William",,1736-01-01,#N/A,#N/A
1736,16846,Ann,Bonny,Bristol,York River,310,"Prothero, Philip",,1736-01-01,4.43333,7.16667
1736,92340,Stannage,Gambia,Liverpool,Upper James River,180,"Hill, Thomas",Slave insurrection,1736-01-01,13.45306,-16.5775
1736,92341,Antelope,Anomabu,Liverpool,Rappahannock,279,"Birch<br/> Hurst, James",,1736-01-01,5.1667,-1.1167
1736,92342,Alice,"Africa, port unspecified",Liverpool,Rappahannock,90,"Hamilton, Thomas",,1736-01-01,#N/A,#N/A
1736,92343,Prince William,Gambia,Liverpool,York River,166,"Gildart, Geo<br/> Hayes, William",,1736-01-01,13.45306,-16.5775
1736,92344,Liverpool Merchant,"Africa, port unspecified",Liverpool,South Potomac,193,"Goulding, Matthew",,1736-01-01,#N/A,#N/A
1736,92345,Thomas,Gambia,Liverpool,York River,137,"Smith, Henry",,1736-01-01,13.45306,-16.5775
1737,16850,Brice Gally,"West Central Africa and St. Helena, port unspecified",Bristol,York River,409,"Saunders, Abraham",,1737-01-01,-8.83833,13.23444
1737,16858,Greyhound,"Africa, port unspecified",Bristol,Rappahannock,232,"Hallden, Edward",,1737-01-01,#N/A,#N/A
1737,16859,Hobhouse,"Africa, port unspecified",Bristol,York River,310,"Bartlett, John",,1737-01-01,#N/A,#N/A
1737,92335,Stannage,Gambia,Liverpool,Upper James River,183,"Hill, Thomas",,1737-01-01,13.45306,-16.5775
1737,92336,Thomas,Gambia,Liverpool,South Potomac,97,"Smith, Henry",,1737-01-01,13.45306,-16.5775
1737,92337,Liverpool Merchant,Gambia,Liverpool,South Potomac,190,"Goulding, Matthew<br/> Bootle, James",,1737-01-01,13.45306,-16.5775
1737,94636,Alice,Gambia,Liverpool,Rappahannock,124,"Cutler, Egerton",,1737-01-01,13.45306,-16.5775
1737,94637,Prince William,Gambia,Liverpool,"Virginia, port unspecified",,"Gildart, Geo",,1737-01-01,13.45306,-16.5775
1738,16884,Bridget,"Africa, port unspecified",Bristol,York River,190,"Quircke, Robert",,1738-01-01,#N/A,#N/A
1738,16957,Murdock,"Africa, port unspecified",Bristol,"Virginia, port unspecified",,"Williams, David",,1738-01-01,#N/A,#N/A
1738,92332,Liverpool Merchant,"West Central Africa and St. Helena, port unspecified",Liverpool,South Potomac,70,"Hassall, Thomas",,1738-01-01,-8.83833,13.23444
1738,92333,Alice,Gambia,Liverpool,Rappahannock,121,"Cutler, Egerton",,1738-01-01,13.45306,-16.5775
1738,92334,Walpole,"West Central Africa and St. Helena, port unspecified",Liverpool,Upper James River,,"Johnson, Richard",,1738-01-01,-8.83833,13.23444
1738,75478,Falcon,"West Central Africa and St. Helena, port unspecified",London,York River,348,"Young, Hasden",,1738-01-01,-8.83833,13.23444
1739,16936,Cross,"Africa, port unspecified",Bristol,York River,266,"Pittman, Joseph",,1739-01-01,#N/A,#N/A
1739,16937,Diana,"Africa, port unspecified",Bristol,"Virginia, port unspecified",,"Campbell, Patrick",,1739-01-01,#N/A,#N/A
1739,16967,Prince of Orange,"Africa, port unspecified",Bristol,York River,200,"Bird, Japhet",,1739-01-01,#N/A,#N/A
1739,92329,Liverpool Merchant,"Africa, port unspecified",Liverpool,South Potomac,130,"Lyon, John<br/> Goulding, Alexander",,1739-01-01,#N/A,#N/A
1739,92330,Vine,Gambia,Liverpool,Rappahannock,156,"Cutler, Egerton",,1739-01-01,13.45306,-16.5775
1739,92331,Dove,"Africa, port unspecified",Liverpool,Upper James River,106,"Corrin, William",,1739-01-01,#N/A,#N/A
1739,75070,Anna,"Whydah, Ouidah",London,Upper James River,380,"Strachan, James",,1739-01-01,#N/A,#N/A
1739,75171,Black Prince,"Gold Coast, port unspecified",London,York River,167,"Sibson, John",,1739-01-01,5.19077,-1.0992
1739,76893,Betty Gally,Malembo,London,Rappahannock,273,"Winster, John",,1739-01-01,-5.33333,12.18333
1740,25181,Mary Anne,"Africa, port unspecified",Boston,Upper James River,70,"Cutler, John",,1740-01-01,#N/A,#N/A
1740,16984,Chesterfield,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Bristol,York River,,"Woods, William",,1740-01-01,4.43333,7.16667
1740,16987,Cornwall,"Africa, port unspecified",Bristol,York River,,"Rickards, Joseph",,1740-01-01,#N/A,#N/A
1740,16996,Marlborough,Calabar,Bristol,York River,260,"Blanning, John",,1740-01-01,4.95,8.31667
1740,17000,Palmtree,Bonny,Bristol,York River,120,"Culme, Richard<br/> Rice, William",,1740-01-01,4.43333,7.16667
1740,17009,Williamsburgh,Bonny,Bristol,York River,230,"Lambert, Jonathan",,1740-01-01,4.43333,7.16667
1740,92328,Bridgett,"Africa, port unspecified",Liverpool,South Potomac,53,"Rosson, Henry<br/> Plume<br/> Carrel, James",,1740-01-01,#N/A,#N/A
1740,94736,Gambia Merchant,Gambia,Liverpool,Rappahannock,139,"Cutler, Egerton",,1740-01-01,13.45306,-16.5775
1740,94738,Dove,"Africa, port unspecified",Liverpool,Upper James River,62,"Lee, John<br/> Corrin, William",,1740-01-01,#N/A,#N/A
1741,17023,Molly,"Africa, port unspecified",Bristol,Upper James River,206,"Perry, George",,1741-01-01,#N/A,#N/A
1741,17024,Nancy,Calabar,Bristol,Upper James River,182,"Malcolme, John<br/> Crawley",,1741-01-01,4.95,8.31667
