Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name,resistance label,Date,latitude,longitude
1735,101018,Nester,,"New Hampshire, port unspecified",Lower James River,1,"Bayley, Joseph",,1735-01-01,43.0717,-70.7631
1735,101019,Lyon,,Boston,Lower James River,6,"Sharman, Randall",,1735-01-01,42.36166,-71.05947
1735,101020,Sussannah,,"Jamaica, place unspecified",Lower James River,18,"Hull, George",,1735-01-01,#N/A,#N/A
1735,101021,Oliver,,"Antigua, place unspecified",Lower James River,2,"Mouat, William",,1735-01-01,#N/A,#N/A
1735,101022,Sussannah,,"Jamaica, place unspecified",Lower James River,3,"Hull, George",,1735-01-01,#N/A,#N/A
1735,101023,Speedwell,,"Barbados, place unspecified",Upper James River,8,"Richardson, William",,1735-01-01,#N/A,#N/A
1735,101024,Saunders,,"Barbados, place unspecified",Lower James River,2,"Calvert, Cornelius",,1735-01-01,#N/A,#N/A
1735,101025,Sarah and Ann,,"Antigua, place unspecified",Lower James River,3,"Adderly, John",,1735-01-01,#N/A,#N/A
1735,101026,Henry,,Bermuda,Lower James River,23,"Todd, John",,1735-01-01,32.29417,-64.78389
1735,101027,Industry,,"Barbados, place unspecified",Lower James River,4,"Westcott, John",,1735-01-01,#N/A,#N/A
1735,101028,Ann,,Bermuda,Lower James River,12,"Hancock, Simon",,1735-01-01,32.29417,-64.78389
1735,101029,Hampton,,"Barbados, place unspecified",Lower James River,5,"Tucker, John",,1735-01-01,#N/A,#N/A
1735,101030,Providence,,"Jamaica, place unspecified",Lower James River,4,"Bayne, Alexander",,1735-01-01,#N/A,#N/A
1735,101031,Success,,"Jamaica, place unspecified",Lower James River,3,"Davis, William",,1735-01-01,#N/A,#N/A
1735,101032,Ann,,Bermuda,Upper James River,10,"Dickenson, James",,1735-01-01,32.29417,-64.78389
1736,101033,Bermuda Merchant,,"St. Kitts, port unspecified",Lower James River,6,"Corbusier, Giles",,1736-01-01,17.3,-62.71667
1736,101034,Neptune,,Bermuda,Lower James River,1,"Harvey, Seth",,1736-01-01,32.29417,-64.78389
1736,101035,Domingo,,"St. Kitts, port unspecified",Lower James River,2,"Williams, William",,1736-01-01,17.3,-62.71667
1736,101036,Saunders,,"Barbados, place unspecified",Lower James River,3,"Calvert, Cornelius",,1736-01-01,#N/A,#N/A
1736,101037,Saunders,,"Antigua, place unspecified",Lower James River,1,"Archer, Edward",,1736-01-01,#N/A,#N/A
1736,101038,Rebecca and Batchelor,,Bermuda,York River,1,"Robinson, William",,1736-01-01,32.29417,-64.78389
1736,101039,Hampton,,"Barbados, place unspecified",Lower James River,3,"Tucker, John",,1736-01-01,#N/A,#N/A
1736,101040,Providence,,"Jamaica, place unspecified",Lower James River,2,"Ivy, Joseph",,1736-01-01,#N/A,#N/A
1736,101041,Saint George,,"Barbados, place unspecified",Lower James River,2,"Parke, Julius Caesar",,1736-01-01,#N/A,#N/A
