Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Captives arrived at 1st port,Captain's name,,Date,latitude,longitude
1735,16780,Ann,"Africa, port unspecified",Bristol,Rappahannock,222,"Prothero, Philip",,1735-01-01,37.59826,-76.38813
1735,16784,Bodmin,"Africa, port unspecified",Bristol,York River,210,"Biddy, Richard",,1735-01-01,37.2268,-76.45376
1735,16785,Brice,"West Central Africa and St. Helena, port unspecified",Bristol,York River,414,"Saunders, Abraham",,1735-01-01,37.2268,-76.45376
1735,16788,George,Calabar,Bristol,York River,284,"Tovey, Edward",,1735-01-01,37.2268,-76.45376
1735,16795,Indian Queen,Bonny,Bristol,York River,172,"Perry, George",,1735-01-01,37.2268,-76.45376
1735,16796,Jenny,Gambia,Bristol,Rappahannock,245,"Bryan, Edward",,1735-01-01,37.59826,-76.38813
1735,92346,Lively,"Africa, port unspecified",Liverpool,Upper James River,139,"Cullum, Francis",,1735-01-01,37.5184,-77.42742
1735,92347,Doddington,"Gold Coast, port unspecified",Liverpool,York River,167,"Copland, James",,1735-01-01,37.2268,-76.45376
1735,92402,Willoughby,"Africa, port unspecified",Liverpool,"Virginia, port unspecified",188,"Heysham, Richard",,1735-01-01,37.2268,-76.45376
1735,76860,Pretty Betsey,"Africa, port unspecified",London,Upper James River,155,"Boys, John",,1735-01-01,37.5184,-77.42742
1736,25713,Pretty Betsey,Gambia,London,Lower James River,,"Boys, John",,1736-01-01,36.95002,-76.38292
1736,16816,Aurora,Bonny,Bristol,Lower James River,160,"Tucker, Timothy",,1736-01-01,36.95002,-76.38292
1736,16818,Betty Snow,"Africa, port unspecified",Bristol,York River,400,"Phelps, James",,1736-01-01,37.2268,-76.45376
1736,16819,Bridget,Cabinda,Bristol,South Potomac,150,"Clarke, William",,1736-01-01,38.10394,-76.52077
1736,16826,Indian Queen,"Africa, port unspecified",Bristol,Rappahannock,201,"Blanning, John",,1736-01-01,37.59826,-76.38813
1736,16838,Prince of Orange,Calabar,Bristol,York River,251,"Bird, Japhet",,1736-01-01,37.2268,-76.45376
1736,16843,Swallow,"Africa, port unspecified",Bristol,York River,196,"Colt, John",,1736-01-01,37.2268,-76.45376
1736,16844,Withers,"Africa, port unspecified",Bristol,York River,275,"Webb, Samuel<br/> Muff, William",,1736-01-01,37.2268,-76.45376
1736,16846,Ann,Bonny,Bristol,York River,310,"Prothero, Philip",,1736-01-01,37.2268,-76.45376
1736,92340,Stannage,Gambia,Liverpool,Upper James River,180,"Hill, Thomas",,1736-01-01,37.5184,-77.42742
1736,92341,Antelope,Anomabu,Liverpool,Rappahannock,279,"Birch<br/> Hurst, James",,1736-01-01,37.59826,-76.38813
1736,92342,Alice,"Africa, port unspecified",Liverpool,Rappahannock,90,"Hamilton, Thomas",,1736-01-01,37.59826,-76.38813
1736,92343,Prince William,Gambia,Liverpool,York River,166,"Gildart, Geo<br/> Hayes, William",,1736-01-01,37.2268,-76.45376
1736,92344,Liverpool Merchant,"Africa, port unspecified",Liverpool,South Potomac,193,"Goulding, Matthew",,1736-01-01,38.10394,-76.52077
1736,92345,Thomas,Gambia,Liverpool,York River,137,"Smith, Henry",,1736-01-01,37.2268,-76.45376
1737,16850,Brice Gally,"West Central Africa and St. Helena, port unspecified",Bristol,York River,409,"Saunders, Abraham",,1737-01-01,37.2268,-76.45376
1737,16858,Greyhound,"Africa, port unspecified",Bristol,Rappahannock,232,"Hallden, Edward",,1737-01-01,37.59826,-76.38813
1737,16859,Hobhouse,"Africa, port unspecified",Bristol,York River,310,"Bartlett, John",,1737-01-01,37.2268,-76.45376
1737,92335,Stannage,Gambia,Liverpool,Upper James River,183,"Hill, Thomas",,1737-01-01,37.5184,-77.42742
1737,92336,Thomas,Gambia,Liverpool,South Potomac,97,"Smith, Henry",,1737-01-01,38.10394,-76.52077
1737,92337,Liverpool Merchant,Gambia,Liverpool,South Potomac,190,"Goulding, Matthew<br/> Bootle, James",,1737-01-01,38.10394,-76.52077
1737,94636,Alice,Gambia,Liverpool,Rappahannock,124,"Cutler, Egerton",,1737-01-01,37.59826,-76.38813
1737,94637,Prince William,Gambia,Liverpool,"Virginia, port unspecified",,"Gildart, Geo",,1737-01-01,37.2268,-76.45376
1738,16884,Bridget,"Africa, port unspecified",Bristol,York River,190,"Quircke, Robert",,1738-01-01,37.2268,-76.45376
1738,16957,Murdock,"Africa, port unspecified",Bristol,"Virginia, port unspecified",,"Williams, David",,1738-01-01,37.2268,-76.45376
1738,92332,Liverpool Merchant,"West Central Africa and St. Helena, port unspecified",Liverpool,South Potomac,70,"Hassall, Thomas",,1738-01-01,38.10394,-76.52077
1738,92333,Alice,Gambia,Liverpool,Rappahannock,121,"Cutler, Egerton",,1738-01-01,37.59826,-76.38813
1738,92334,Walpole,"West Central Africa and St. Helena, port unspecified",Liverpool,Upper James River,,"Johnson, Richard",,1738-01-01,37.5184,-77.42742
1738,75478,Falcon,"West Central Africa and St. Helena, port unspecified",London,York River,348,"Young, Hasden",,1738-01-01,37.2268,-76.45376
1739,16936,Cross,"Africa, port unspecified",Bristol,York River,266,"Pittman, Joseph",,1739-01-01,37.2268,-76.45376
1739,16937,Diana,"Africa, port unspecified",Bristol,"Virginia, port unspecified",,"Campbell, Patrick",,1739-01-01,37.2268,-76.45376
1739,16967,Prince of Orange,"Africa, port unspecified",Bristol,York River,200,"Bird, Japhet",,1739-01-01,37.2268,-76.45376
1739,92329,Liverpool Merchant,"Africa, port unspecified",Liverpool,South Potomac,130,"Lyon, John<br/> Goulding, Alexander",,1739-01-01,38.10394,-76.52077
1739,92330,Vine,Gambia,Liverpool,Rappahannock,156,"Cutler, Egerton",,1739-01-01,37.59826,-76.38813
1739,92331,Dove,"Africa, port unspecified",Liverpool,Upper James River,106,"Corrin, William",,1739-01-01,37.5184,-77.42742
1739,75070,Anna,"Whydah, Ouidah",London,Upper James River,380,"Strachan, James",,1739-01-01,37.5184,-77.42742
1739,75171,Black Prince,"Gold Coast, port unspecified",London,York River,167,"Sibson, John",,1739-01-01,37.2268,-76.45376
1739,76893,Betty Gally,Malembo,London,Rappahannock,273,"Winster, John",,1739-01-01,37.59826,-76.38813
1740,25181,Mary Anne,"Africa, port unspecified",Boston,Upper James River,70,"Cutler, John",,1740-01-01,37.5184,-77.42742
1740,16984,Chesterfield,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Bristol,York River,,"Woods, William",,1740-01-01,37.2268,-76.45376
1740,16987,Cornwall,"Africa, port unspecified",Bristol,York River,,"Rickards, Joseph",,1740-01-01,37.2268,-76.45376
1740,16996,Marlborough,Calabar,Bristol,York River,260,"Blanning, John",,1740-01-01,37.2268,-76.45376
1740,17000,Palmtree,Bonny,Bristol,York River,120,"Culme, Richard<br/> Rice, William",,1740-01-01,37.2268,-76.45376
1740,17009,Williamsburgh,Bonny,Bristol,York River,230,"Lambert, Jonathan",,1740-01-01,37.2268,-76.45376
1740,92328,Bridgett,"Africa, port unspecified",Liverpool,South Potomac,53,"Rosson, Henry<br/> Plume<br/> Carrel, James",,1740-01-01,38.10394,-76.52077
1740,94736,Gambia Merchant,Gambia,Liverpool,Rappahannock,139,"Cutler, Egerton",,1740-01-01,37.59826,-76.38813
1740,94738,Dove,"Africa, port unspecified",Liverpool,Upper James River,62,"Lee, John<br/> Corrin, William",,1740-01-01,37.5184,-77.42742
1741,17023,Molly,"Africa, port unspecified",Bristol,Upper James River,206,"Perry, George",,1741-01-01,37.5184,-77.42742
1741,17024,Nancy,Calabar,Bristol,Upper James River,182,"Malcolme, John<br/> Crawley",,1741-01-01,37.5184,-77.42742
1741,17034,Seaflower,Calabar,Bristol,York River,169,"Elsworthy, John<br/> Edwards, John",,1741-01-01,37.2268,-76.45376
1741,94744,Cape Coast,"Africa, port unspecified",Liverpool,South Potomac,130,"Smith, William",,1741-01-01,38.10394,-76.52077
1741,94759,Walpole,Gambia,Liverpool,"Virginia, port unspecified",,"Carrey, Ellis",,1741-01-01,37.2268,-76.45376
1742,17037,Amoretta,Bonny,Bristol,York River,195,"Crode, John",,1742-01-01,37.2268,-76.45376
1742,17047,George,Calabar,Bristol,Upper James River,310,"Tovey, Edward",,1742-01-01,37.5184,-77.42742
1742,17059,Shepherd,"Africa, port unspecified",Bristol,Rappahannock,320,"Power, Maurice",,1742-01-01,37.59826,-76.38813
1742,17062,Vernon,"Africa, port unspecified",Bristol,York River,140,"Forrest, Henry",,1742-01-01,37.2268,-76.45376
1742,75670,James Gally,"Africa, port unspecified",London,York River,450,"Young, Hasden",,1742-01-01,37.2268,-76.45376
1743,17068,Broomfield,Bonny,Bristol,York River,164,"Sharp, Joseph",,1743-01-01,37.2268,-76.45376
1743,17070,Goldfinch,"Africa, port unspecified",Bristol,York River,200,"Quircke, Robert<br/> Spurrier, Walter",,1743-01-01,37.2268,-76.45376
1743,17072,Henry's,"Africa, port unspecified",Bristol,York River,298,"Little, Joseph",,1743-01-01,37.2268,-76.45376
1743,17079,Nancy,Calabar,Bristol,Upper James River,213,"Malcolme, John",,1743-01-01,37.5184,-77.42742
1743,17088,Vernon,Bonny,Bristol,York River,145,"Forrest, Henry",,1743-01-01,37.2268,-76.45376
1743,17089,Williamsburgh,Bonny,Bristol,Upper James River,300,"Lambert, Jonathan<br/> Tate, John",,1743-01-01,37.5184,-77.42742
1744,17091,Amoretta,Calabar,Bristol,Upper James River,,"Crode, John<br/> Revel, Isaac<br/> Russell",,1744-01-01,37.5184,-77.42742
1744,17123,Shepherd,Calabar,Bristol,York River,,"Brown, John",,1744-01-01,37.2268,-76.45376
1744,92324,Thomas,Gambia,Liverpool,Rappahannock,114,"Wilson, Daniel",,1744-01-01,37.59826,-76.38813
1744,90416,Gildart,Gambia,Liverpool,"Virginia, port unspecified",,"Holme, Richard",,1744-01-01,37.2268,-76.45376
1745,17139,Broomfield,"Africa, port unspecified",Bristol,York River,187,"Sharp, Joseph",,1745-01-01,37.2268,-76.45376
1745,17147,Ranger,Gambia,Bristol,York River,185,"Ebsworthy, Thomas",,1745-01-01,37.2268,-76.45376
1745,90019,Mercury,Gambia,Liverpool,Rappahannock,140,"Bacon, William",,1745-01-01,37.59826,-76.38813
1745,90054,Saint George,"Africa, port unspecified",Liverpool,York River,,"Grayson, John",,1745-01-01,37.2268,-76.45376
1746,17145,Nancy,"Africa, port unspecified",Bristol,Upper James River,209,"Baber, John",,1746-01-01,37.5184,-77.42742
1746,92505,Planter,"Gold Coast, port unspecified",Liverpool,York River,226,"Foulkes, Thomas",,1746-01-01,37.2268,-76.45376
1746,92506,Gildart,Gambia,Liverpool,Rappahannock,250,"Holme, Richard",,1746-01-01,37.59826,-76.38813
1746,17149,Two Brothers,Bonny,Bristol,York River,254,"Jones, William",,1746-01-01,37.2268,-76.45376
1746,17150,Williamsburgh,"Africa, port unspecified",Bristol,Upper James River,360,"Tate, John",,1746-01-01,37.5184,-77.42742
1748,17182,Louisa,Bonny,Bristol,"Virginia, port unspecified",,"Seires, John",,1748-01-01,37.2268,-76.45376
1749,17197,Amoretta,Calabar,Bristol,Upper James River,185,"Timberman, Samuel",,1749-01-01,37.5184,-77.42742
1749,17208,Levant,Bonny,Bristol,York River,252,"Miller, William",,1749-01-01,37.2268,-76.45376
1749,17217,Southwell,Malembo,Bristol,Upper James River,284,"Brackenridge, John",,1749-01-01,37.5184,-77.42742
1749,17224,Tryall,Malembo,Bristol,Upper James River,356,"Saunders, Abraham",,1749-01-01,37.5184,-77.42742
1749,17226,Williamsburgh,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Bristol,Upper James River,335,"Tate, John",,1749-01-01,37.5184,-77.42742
